PIC,Title,Author,Pros,Cons,OCN,Summary,Verdict,URL,Date
https://i.rtings.com/images/reviews/tv/lg/e8/e8-design-medium.jpg,"LG E8 OLED Review (OLED55E8, OLED65E8)",Dimitris Katsaounis,Perfect blacks,Risk of permanent ,TV,The LG OLED E8 is an excellent 4k OLED TV with a remarkable picture quality. It can display perfect blacks and is has excellent for dark room viewing.  The E8 is...,,https://www.rtings.com/tv/reviews/lg/e8-oled,2018-10-22
https://i.rtings.com/images/reviews/tv/lg/um6900/um6900-design-medium.jpg,"LG UM6900 Review (43UM6910PUA, 49UM6900PUA, 55UM6910PUA, 60UM6900PUA, 65UM6900PUA, 70UM6970PUA, 75UM6970PUA)",Adam Babcock,Image remains accurate at an angle.,Not very bright.,TV,"The LG UM6900 is a decent entry-level 4k TV with an IPS panel. Like most IPS TVs, it has a wide viewing angle, but doesn't look as good in a dark room, as it has...",,https://www.rtings.com/tv/reviews/lg/um6900,2019-09-13
https://i.rtings.com/images/reviews/tv/lg/b8/b8-design-medium.jpg,"LG B8 OLED Review (OLED55B8, OLED65B8)",Daniel O'Keeffe,Perfect deep blacks,Brightness depends on screen content due to Automatic Backlight Limiter (ABL),TV,"The LG B8 is a 4k OLED TV with excellent picture quality, especially when viewed in a dark room. It can produce perfectly deep blacks due to the emissive technol...",,https://www.rtings.com/tv/reviews/lg/b8-oled,2018-07-13
https://i.rtings.com/images/reviews/tv/lg/um8070/um8070-design-medium.jpg,"LG UM8070 Review (75UM8070PUA, 82UM8070PUA, 86UM8070PUA)",Dimitris Katsaounis,Very low input lag.,HDR doesn't add much.,TV,"The LG UM8070 is a good 4k TV with decent picture quality. It has a VA panel with a very good contrast ratio, but no local dimming support. It can get decently b...",,https://www.rtings.com/tv/reviews/lg/um8070,2019-08-12
https://i.rtings.com/images/reviews/tv/lg/um7300/um7300-design-medium.jpg,"LG UM7300 Review (43UM7300PUA, 49UM7300PUA, 50UM7300PUA, 55UM7300PUA, 65UM7300PUA)",Adam Babcock,Outstanding low input lag.,"Can't produce deep, uniform blacks.",TV,"The LG UM7300PUA is a good entry-level 4k TV that performs well in most uses. It has wide viewing angles that suit large rooms with wide seating area, and it has...",,https://www.rtings.com/tv/reviews/lg/um7300,2020-03-04
https://i.rtings.com/images/reviews/tv/lg/c8/c8-design-medium.jpg,"LG C8 OLED Review (OLED55C8, OLED65C8, OLED77C8)",Daniel O'Keeffe,Can produce perfectly deep and uniform blacks,May be a risk of permanent burn-in (,TV,"The LG OLED C8 is a great 4k OLED TV with excellent picture quality. The emissive technology allows it to produce perfect blacks, which is excellent for dark roo...",,https://www.rtings.com/tv/reviews/lg/c8-oled,2018-04-13
https://i.rtings.com/images/reviews/headphones/ylife/true-wireless-earbuds/true-wireless-earbuds-design-medium.jpg,Ylife True Wireless Earbuds Review,Jake Thauvette,Case holds up to 18 charges; can be used as a power bank.,Poor single charge battery life. ,Headphones,"The Ylife True Wireless Earbuds are acceptable truly wireless in-ears for mixed usage. They have a fairly neutral sound profile, although some people might feel ...",,https://www.rtings.com/headphones/reviews/ylife/true-wireless-earbuds,2020-02-20
https://i.rtings.com/images/reviews/headphones/xfyro/xs2/xs2-design-medium.jpg,XFYRO xS2 Truly Wireless Review,Marc Henney,Good isolation performance.,Sub-par battery life.,Headphones,"The xFyro xS2 are decent mixed usage truly wireless in-ears with a few flaws. They are decently comfortable, but the in-ear fit might not be for everyone. They’r...",,https://www.rtings.com/headphones/reviews/xfyro/xs2-truly-wireless,2019-01-16
https://i.rtings.com/images/reviews/headphones/westone/w40/w40-design-medium.jpg,Westone W40 Review,Sam Vafaei,Good noise isolation and low leakage.,Below-average sound quality.,Headphones,"The Westone W40 are well-designed and durable in-ear headphones. They're stable enough for sports use, and they're portable, so they're easy to carry on you at a...",,https://www.rtings.com/headphones/reviews/westone/w40,2017-05-18
https://i.rtings.com/images/reviews/headphones/v-moda/crossfade-m-100/crossfade-m-100-design-medium.jpg,V-MODA Crossfade M-100 Review,Sam Vafaei,Good audio reproduction.,Poor noise isolation.,Headphones,"The V-MODA Crossfade M-100 are stylish and customizable headphones, with an above-average sound for critical listening. They have a durable build quality and a s...",,https://www.rtings.com/headphones/reviews/v-moda/crossfade-m-100,2016-09-08
https://i.rtings.com/images/reviews/headphones/v-moda/crossfade-ii-wireless/crossfade-ii-wireless-design-medium.jpg,V-MODA Crossfade 2 Wireless Review,Sam Vafaei,Great build quality.,Poor isolation.,Headphones,"The V-Moda Crossfade 2 Wireless improve on their previous wireless model, with a more comfortable and portable design. They're stable enough to run with, and the...",,https://www.rtings.com/headphones/reviews/v-moda/crossfade-2-wireless,2017-06-08
https://i.rtings.com/images/reviews/headphones/venstone/x1/x1-design-medium.jpg,Venstone X1 Review,Sam Vafaei,Stable ear-hook design.,Poor noise isolation.,Headphones,"The Venstone X1 are low budget in-ear headphones that have a simple, stable design for sports use. Unfortunately, they have a subpar and uneven audio reproductio...",,https://www.rtings.com/headphones/reviews/venstone/x1,2016-07-25
https://i.rtings.com/images/reviews/headphones/v-moda/bassfit-wireless/bassfit-wireless-design-medium.jpg,V-MODA BassFit Wireless Review,Jean-Simon Bonneterre,Very stable for sports.,Poor noise isolation.,Headphones,"The V-MODA BassFit are very good sports headphones, but won’t be versatile for everyday casual use since their isolation performance isn’t the best. Also, they a...",,https://www.rtings.com/headphones/reviews/v-moda/bassfit-wireless,2019-03-06
https://i.rtings.com/images/reviews/headphones/turtle-beach/elite-800/elite-800-design-medium.jpg,Turtle Beach Elite 800 Wireless Review,Sam Vafaei,"Futuristic looking, sturdy design",Poor noise cancellation,Headphones,"The Turtle Beach Elite 800 gaming headset are comfortable and have a lot of features. Unfortunately, they don't have a great sound quality and they don't block a...",,https://www.rtings.com/headphones/reviews/turtle-beach/elite-800-wireless,2017-12-12
https://i.rtings.com/images/reviews/headphones/turtle-beach/stealth-700/stealth-700-design-medium.jpg,Turtle Beach Stealth 700 Wireless Review,Sam Vafaei,Low latency.,Poor noise isolation.,Headphones,The Turtle Beach Stealth 700 PS4 / Xbox One are good gaming headphones with a versatile amount of connection options for mobile use. They're Bluetooth compatible...,,https://www.rtings.com/headphones/reviews/turtle-beach/stealth-700-wireless,2018-03-08
https://i.rtings.com/images/reviews/headphones/turtle-beach/stealth-600/stealth-600-design-medium.jpg,Turtle Beach Stealth 600 Wireless Review,Sam Vafaei,Well-balanced default sound profile.,Mediocre build quality.,Headphones,The Turtle Beach Stealth 600 are decent wireless gaming headphones. They have a surprisingly well-balanced sound and a low latency wireless connection. Their bat...,,https://www.rtings.com/headphones/reviews/turtle-beach/stealth-600-wireless,2020-04-15
https://i.rtings.com/images/reviews/headphones/turtle-beach/elite-pro-2-superamp/elite-pro-2-superamp-design-medium.jpg,Turtle Beach Elite Pro 2 SuperAmp Review,Sam Vafaei,Above-average audio reproduction.,Bass delivery varies significantly across users.,Headphones,The Turtle Beach Elite Pro 2 is a good gaming headset that comes with an amp and that looks more premium than previously reviewed Turtle Beach headsets. It is co...,,https://www.rtings.com/headphones/reviews/turtle-beach/elite-pro-2-superamp,2018-10-26
https://i.rtings.com/images/reviews/headphones/turtle-beach/recon-50x/recon-50x-design-medium.jpg,Turtle Beach Recon 50X/Recon 50P Review,Sam Vafaei,Decent sound quality.,Weak build quality.,Headphones,The Turtle Beach Recon 50X is a decent budget gaming headset. These headphones have a moderately well-balanced sound that's a bit cluttered but delivers a good b...,,https://www.rtings.com/headphones/reviews/turtle-beach/recon-50x-recon-50p,2018-06-15
https://i.rtings.com/images/reviews/headphones/turtle-beach/stealth-300/stealth-300-design-medium.jpg,Turtle Beach Stealth 300 Review,Marc Henney,Above-average audio reproduction.,Poor noise and leakage isolation.,Headphones,"The Turtle Beach Stealth 300 are a decent wired gaming headset. They have the same design and build quality as the Stealth 600, so they're comfortable and easy-t...",,https://www.rtings.com/headphones/reviews/turtle-beach/stealth-300,2018-08-17
https://i.rtings.com/images/reviews/headphones/turtle-beach/recon-200/recon-200-design-medium.jpg,Turtle Beach Recon 200 Review,Marc Henney,Above-average audio reproduction.,Plasticky build.,Headphones,The Turtle Beach Recon 200 is an over-ear gaming headset that looks cheaply-made but is surprisingly comfortable for long gaming sessions. This headset also has ...,,https://www.rtings.com/headphones/reviews/turtle-beach/recon-200,2019-02-08
https://i.rtings.com/images/reviews/headphones/turtle-beach/elite-atlas/elite-atlas-design-medium.jpg,Turtle Beach Elite Atlas Review,Marc Henney,Good audio reproduction.,Sub-par isolation and leakage performance. ,Headphones,"The Turtle Beach Elite Atlas is a good wired gaming headset and is very similar to the Elite Pro 2 SuperAmp, with slight differences in performance. They still h...",,https://www.rtings.com/headphones/reviews/turtle-beach/elite-atlas,2019-01-25
https://i.rtings.com/images/reviews/headphones/articles/best/best-turtle-beach-medium.jpg,The 3 Best Turtle Beach Headsets of 2020: Reviews,Nick Cheply,,,Headphones,We've tested 10 Turtle Beach headsets. The best Turtle Beach headset for gaming is the Turtle Beach Elite Pro 2 SuperAmp.,,https://www.rtings.com/headphones/reviews/turtle-beach,2020-04-09
https://i.rtings.com/images/reviews/headphones/turtle-beach/recon-70/recon-70-design-medium.jpg,Turtle Beach Recon 70 Review,Jean-Simon Bonneterre,Decent audio reproduction.,Cheap and plasticky build.,Headphones,"The Turtle Beach Recon 70 are acceptable gaming headphones that offer good overall performance, but their build quality is quite plasticky, which makes them feel...",,https://www.rtings.com/headphones/reviews/turtle-beach/recon-70,2019-06-26
https://i.rtings.com/images/reviews/headphones/turtle-beach/battle-buds/battle-buds-design-medium.jpg,Turtle Beach Battle Buds Review,Jake Thauvette,Decent microphone performance for in-ears thanks to unique detachable boom mic.,Cheap materials aren't the most comfortable in the ear.,Headphones,The Turtle Beach Battle Buds are decent wired gaming headphones. These unique in-ears have a fairly small detachable boom mic that connects to the left earbuds b...,,https://www.rtings.com/headphones/reviews/turtle-beach/battle-buds,2020-02-13
https://i.rtings.com/images/reviews/headphones/tascam/th-02/th-02-design-medium.jpg,Tascam TH-02 Review,Sam Vafaei,Decent audio reproduction.,Sub-par noise isolation.,Headphones,"The Tascam TH-02 are decent-sounding critical listening headphones, but sub-par for everything else. Their build quality feels a little cheap and plasticky and t...",,https://www.rtings.com/headphones/reviews/tascam/th-02,2018-07-04
https://i.rtings.com/images/reviews/headphones/tin-audio/t2/t2-design-medium.jpg,TIN Audio T2 Review,Marc Henney,Good audio reproduction.,In-ear fit might not be for everyone.,Headphones,The Tin Audio T2 are decent critical listening in-ear headphones. They have a good audio reproduction for in-ears and have a solid build. They are fairly comfort...,,https://www.rtings.com/headphones/reviews/tin-audio/t2,2018-12-19
https://i.rtings.com/images/reviews/headphones/treblab/x5/x5-design-medium.jpg,TREBLAB X5 Truly Wireless Review,Marc Henney,Breathable and stable for sports.,Bulky in-ear design.,Headphones,"The Treblab X5 are decent mixed usage truly wireless closed-back in-ears that are great for sports. They have an unusual design that resembles Apple AirPods, but...",,https://www.rtings.com/headphones/reviews/treblab/x5-truly-wireless,2019-02-20
https://i.rtings.com/images/reviews/headphones/taotronics/tt-bh060/tt-bh060-design-medium.jpg,TaoTronics TT-BH060 Wireless Review,Jean-Simon Bonneterre,Comfortable and durable design.,Dark and muffled sound quality.,Headphones,"The TaoTronics BH060 are comfortable over-ear headphones that are decently well-built. Unfortunately, our unit showed significant mismatch between their drivers....",,https://www.rtings.com/headphones/reviews/taotronics/tt-bh060-wireless,2019-05-23
https://i.rtings.com/images/reviews/headphones/tozo/t10/t10-design-medium.jpg,TOZO T10 Truly Wireless Review,Jake Thauvette,Wireless charging case.,Inaccurate sound profile isn't the most versatile.,Headphones,"The TOZO T10 are passable truly wireless headphones. Their bass-heavy sound profile is good for fans of genres like EDM or hip-hop, but some may find their bass ...",,https://www.rtings.com/headphones/reviews/tozo/t10-truly-wireless,2020-02-26
https://i.rtings.com/images/reviews/headphones/tozo/t6/t6-design-medium.jpg,TOZO T6 Truly Wireless Review,Jake Thauvette,Wireless charging.,Touch-sensitive controls may not be for everyone.,Headphones,"The TOZO T6 are a decent pair of truly wireless headphones. They're small and lightweight, and their decently comfortable fit should be suitable for extended lis...",,https://www.rtings.com/headphones/reviews/tozo/t6-truly-wireless,2020-03-13
https://i.rtings.com/images/reviews/headphones/superlux/hd-681/hd-681-design-medium.jpg,Superlux HD 681 Review,Sam Vafaei,Good sound quality.,"Sensitive to noisy environments, by deisgn.",Headphones,The Superlux HD 681 are very similar to the HD 668B in shape and sound. They're a bit more comfortable thanks to the different headband design that's not as tigh...,,https://www.rtings.com/headphones/reviews/superlux/hd-681,2017-08-03
https://i.rtings.com/images/reviews/headphones/symphonized/nrg-3-0/nrg-3-0-design-medium.jpg,Symphonized NRG 3.0 Review,Sam Vafaei,Portable and stable design.,Sub-par sound quality.,Headphones,"The Symphonized NRG 3.0 are a decently well-built, budget in-ear headphones. Unfortunately, their sound quality is a bit too dark and won't be ideal for more cri...",,https://www.rtings.com/headphones/reviews/symphonized/nrg-3-0,2017-07-05
https://i.rtings.com/images/reviews/headphones/tin-audio/t3/t3-design-medium.jpg,TIN Audio T3 Review,Jean-Simon Bonneterre,Durable build with detachable cables.,In-ear fit might not be for everyone.,Headphones,The TIN HiFi Audio T3 are decent critical listening in-ears that have a great build quality with a detachable and replaceable cable. This model resembles the pre...,,https://www.rtings.com/headphones/reviews/tin-audio/t3,2019-03-28
https://i.rtings.com/images/reviews/headphones/superlux/hd-668b/hd-668b-design-medium.jpg,Superlux HD 668B Review,Sam Vafaei,Great sound quality.,"Sensitive to noisy environments, by design.",Headphones,The Superlux HD 668B are great-sounding and affordable critical listening headphones. They let in a lot of ambient noise and leak enough to be distracting to tho...,,https://www.rtings.com/headphones/reviews/superlux/hd-668b,2017-05-26
https://i.rtings.com/images/reviews/headphones/steelseries/arctis-7/arctis-7-design-medium.jpg,SteelSeries Arctis 7 Wireless 2017 Review,Sam Vafaei,Versatile and durable design.,Subpar noise isolation.,Headphones,"The SteelSeries Arctis 7 are a great gaming headset, with a versatile design, a good sound, and an excellent mic. They also have a long-lasting battery life, and...",,https://www.rtings.com/headphones/reviews/steelseries/arctis-7-wireless-2017,2018-03-08
https://i.rtings.com/images/reviews/headphones/steelseries/siberia-200/siberia-200-design-medium.jpg,SteelSeries Siberia 200 Review,Sam Vafaei,Negligible latency.,"Poor noise isolation, by design.",Headphones,"Designed around the Siberia V2 headset, the SteelSeries Siberia 200 are a surprisingly good-sounding and budget gaming headphone. They don't have a lot of featur...",,https://www.rtings.com/headphones/reviews/steelseries/siberia-200,2017-11-14
https://i.rtings.com/images/reviews/headphones/steelseries/arctis-3-2019-edition/arctis-3-2019-edition-design-medium.jpg,SteelSeries Arctis 3 2019 Edition Wireless Review,Jean-Simon Bonneterre,Good audio reproduction.,Bulky and plasticky build.,Headphones,"The SteelSeries Arctis 3 2019 Edition are good gaming headphones that are also Bluetooth-compatible, which lets you stream music from your phone while using the ...",,https://www.rtings.com/headphones/reviews/steelseries/arctis-3-2019-edition-wireless,2019-05-30
https://i.rtings.com/images/reviews/headphones/superlux/hd-681-evo/hd-681-evo-design-medium.jpg,Superlux HD 681 EVO Review,Sam Vafaei,Good audio reproduction.,Plasticky build quality.,Headphones,The Superlux HD 681 EVO are a slightly better-designed version of the HD 681. They sound about the same although the EVO has a bit more bass. They're also budget...,,https://www.rtings.com/headphones/reviews/superlux/hd-681-evo,2017-10-24
https://i.rtings.com/images/reviews/headphones/steelseries/arctis-7-2019-edition/arctis-7-2019-edition-design-medium.jpg,SteelSeries Arctis 7 2019 Edition Wireless Review,Jean-Simon Bonneterre,Good audio reproduction.,Slightly bulky design.,Headphones,"The SteelSeries Arctis 7 2019 Edition are great gaming headphones that are almost identical to the previous model. They still have good audio reproduction, and t...",,https://www.rtings.com/headphones/reviews/steelseries/arctis-7-2019-edition-wireless,2019-03-19
https://i.rtings.com/images/reviews/headphones/swimbuds/swimbuds/swimbuds-design-medium.jpg,Swimbuds Waterproof Headphones Review,Sam Vafaei,Minimal leakage.,Poor audio reproduction.,Headphones,"The Swimbuds deliver a unique, waterproof listening experience. They're lightweight, compact and stable enough for sports use. Unfortunately, they're not the mos...",,https://www.rtings.com/headphones/reviews/swimbuds/waterproof-headphones,2016-08-04
https://i.rtings.com/images/reviews/headphones/steelseries/arctis-pro-gamedac/arctis-pro-gamedac-design-medium.jpg,SteelSeries Arctis Pro GameDAC Review,Marc Henney,Versatile and durable design.,Subpar noise isolation.,Headphones,"The SteelSeries Arctis Pro+GameDAC is an excellent gaming headset with a lot of customization options, great sound quality, and a sturdy, comfortable design. The...",,https://www.rtings.com/headphones/reviews/steelseries/arctis-pro-gamedac,2018-05-17
https://i.rtings.com/images/articles/brands-shots/headphones/steelseries/best-steelseries-medium.jpg,The 3 Best SteelSeries Headsets of 2020: Reviews,Vanessa McCuaig,,,Headphones,"The best SteelSeries headset for gaming that we've tested so far is the SteelSeries Arctis Pro Wireless. Comfortable enough to be worn for long periods and with a low latency, these headphones are a great choice for serious gamers.",,https://www.rtings.com/headphones/reviews/steelseries,2020-03-04
https://i.rtings.com/images/reviews/headphones/steelseries/arctis-9x/arctis-9x-design-medium.jpg,SteelSeries Arctis 9X Wireless Review,Jean-Simon Bonneterre,Great audio reproduction.,Might be tight for some.,Headphones,The SteelSeries Arctis 9X are good gaming headphones that have great audio quality and are designed to work with the Xbox One wirelessly without the need for a d...,,https://www.rtings.com/headphones/reviews/steelseries/arctis-9x-wireless,2019-06-04
https://i.rtings.com/images/reviews/headphones/steelseries/arctis-1/arctis-1-design-medium.jpg,SteelSeries Arctis 1 Review,Jean-Simon Bonneterre,Good audio quality.,"Cheap, plasticky build.",Headphones,"The SteelSeries Arctis 1 are decent gaming headphones that have good audio quality and a great sounding microphone. However, they are the entry-level model of th...",,https://www.rtings.com/headphones/reviews/steelseries/arctis-1,2019-08-01
https://i.rtings.com/images/reviews/headphones/steelseries/arctis-5-2019-edition/arctis-5-2019-edition-design-medium.jpg,SteelSeries Arctis 5 2019 Edition Review,Jean-Simon Bonneterre,Good audio reproduction.,Bulky and plasticky build.,Headphones,"The SteelSeries Arctis 5 2019 Edition are good wired gaming headphones that have a very good audio reproduction. They have a great microphone for online gaming, ...",,https://www.rtings.com/headphones/reviews/steelseries/arctis-5-2019-edition,2019-05-03
https://i.rtings.com/images/reviews/headphones/stax/sr-l300/sr-l300-design-medium.jpg,Stax SR-L300 Review,Marc Henney,Great audio reproduction.,Cheap and flimsy build. ,Headphones,"The Stax SR-L300 are very good critical listening, open-back, electrostatic headphones with a unique look. They have wide rectangular ear cups with a grill desig...",,https://www.rtings.com/headphones/reviews/stax/sr-l300,2019-02-21
https://i.rtings.com/images/reviews/headphones/soundpeats/qy9/qy9-design-medium.jpg,SoundPeats QY9 Wireless Review,Sam Vafaei,Low leakage.,The in-ear fit is uncomfortable for some.,Headphones,"The SoundPeats QY9 have a lightweight, wireless design and a stable fit that's good for sports. They barely leak any sound and are compact enough for most pocket...",,https://www.rtings.com/headphones/reviews/soundpeats/qy9-wireless,2016-08-18
https://i.rtings.com/images/reviews/headphones/soundpeats/q8/q8-design-medium.jpg,SoundPeats Q8 Wireless Review,Sam Vafaei,Good passive isolation.,In-ear design is not comfortable for everyone.,Headphones,"The SoundPeats Q8 Aptx are well-designed, wireless in-ear headphones with great bass and very low leakage regardless of volume. Unfortunately, the in-ear fit may...",,https://www.rtings.com/headphones/reviews/soundpeats/q8-wireless,2016-04-13
https://i.rtings.com/images/reviews/headphones/steelseries/arctis-pro-wireless/arctis-pro-wireless-design-medium.jpg,SteelSeries Arctis Pro Wireless Review,Ian McPhail,Comfortable and durable design,Poor noise isolation,Headphones,The SteelSeries Arctis Pro Wireless is an outstanding gaming headset that combines the connectivity options of the Arctis 7 and the Arctis Pro GameDAC by includi...,,https://www.rtings.com/headphones/reviews/steelseries/arctis-pro-wireless,2019-02-15
https://i.rtings.com/images/reviews/headphones/soundpeats/qy8/qy8-design-medium.jpg,SoundPeats QY8 Wireless Review,Sam Vafaei,Very low leakage.,The in-ear fit is uncomfortable for some.,Headphones,"The SoundPeats QY8 are above-average, wireless in-ear headphones with a decent sound reproduction. They're stable enough to be used while doing sports. They also...",,https://www.rtings.com/headphones/reviews/soundpeats/qy8-wireless,2016-05-03
https://i.rtings.com/images/reviews/headphones/soundpeats/q9a/q9a-design-medium.jpg,SoundPeats Q9A Wireless Review,Sam Vafaei,Stable and portable design.,Poor noise isolation.,Headphones,"The SoundPeats Q9A are better built and have more convenient audio controls than the QY8 and QY9. They're wireless, stable and a bit more comfortable than typica...",,https://www.rtings.com/headphones/reviews/soundpeats/q9a-wireless,2016-09-26
https://i.rtings.com/images/reviews/headphones/soundpeats/truefree/truefree-design-medium.jpg,SoundPeats TrueFree/True Wireless Review,Marc Henney,Great price to performance ratio.,Inconsistent pairing procedure.,Headphones,The SoundPEATS True Wireless are decent mixed usage truly wireless in-ears. They offer great performance for their affordable price. These in-ears are fairly com...,,https://www.rtings.com/headphones/reviews/soundpeats/truefree-true-wireless,2019-01-24
https://i.rtings.com/images/reviews/headphones/sony/mdr-100aap/mdr-100aap-design-medium.jpg,Sony MDR-100AAP/h.ear on Review,Sam Vafaei,Decent audio reproduction.,Plasticky build quality.,Headphones,"The Sony h.ear on MDR-100AAP are average over-ear headphones, with an eye-catching design and a decent sound. They're lightweight and fairly stable, but they str...",,https://www.rtings.com/headphones/reviews/sony/mdr-100aap-h-ear-on,2016-07-28
https://i.rtings.com/images/reviews/headphones/sony/mdr-nc8/mdr-nc8-design-medium.jpg,Sony MDR-NC8 Review,Sam Vafaei,Decent audio reproduction.,Very poor noise cancelling.,Headphones,"The Sony MDR-NC8 deliver surprisingly decent sound reproduction. However, they are flimsy, below-average headphones with terrible noise isolation and subpar buil...",,https://www.rtings.com/headphones/reviews/sony/mdr-nc8,2016-02-26
https://i.rtings.com/images/reviews/headphones/sound-intone/cx-05/cx-05-design-medium.jpg,Sound Intone CX-05 Review,Sam Vafaei,Above-average build quality.,Poor noise isolation.,Headphones,"The Sound Intone CX-05 are sturdy, budget on-ear headphones with a mediocre-at-best sound. They have a durable design, especially compared to other on-ears in th...",,https://www.rtings.com/headphones/reviews/sound-intone/cx-05,2017-07-13
https://i.rtings.com/images/reviews/headphones/sony/mdr-xb50ap/mdr-xb50ap-design-medium.jpg,Sony MDR-XB50AP Extra Bass Review,Sam Vafaei,Above-average build quality.,Mediocre-at-best control scheme.,Headphones,"The Sony MDR-XB50AP Extra Bass are average mixed usage in-ears with an emphasis on bass. They're portable, stable and block an above-average amount of noise whic...",,https://www.rtings.com/headphones/reviews/sony/mdr-xb50ap-extra-bass,2018-05-22
https://i.rtings.com/images/reviews/headphones/sony/mdr-1000x/mdr-1000x-design-medium.jpg,Sony MDR-1000X Wireless Review,Sam Vafaei,Excellent noise cancellation.,Slightly inconsistent sound when wireless.,Headphones,"The Sony MDR-1000x are above-average headphones for most use cases with excellent noise cancelling, which makes them a good choice for commuting and traveling. T...",,https://www.rtings.com/headphones/reviews/sony/mdr-1000x-wireless,2018-06-26
https://i.rtings.com/images/reviews/headphones/sony/mdr-1a/mdr-1a-design-medium.jpg,Sony MDR-1A Review,Sam Vafaei,Great audio reproduction.,Poor noise isolation.,Headphones,"The Sony MDR-1A are comfortable, critical listening over-ears that deliver a satisfying and well-balanced sound quality. They have a sleek-looking design, and th...",,https://www.rtings.com/headphones/reviews/sony/mdr-1a,2018-05-11
