Title,PIC,Summary,Author,Date,Pros,Cons,URL
Acer Swift 3 review: Better as a budget device than as a mid-range laptop,https://cdn.arstechnica.net/wp-content/uploads/2019/10/acerswift3_2-760x380.jpg,Our $899 review unit isn't very different from its $479 counterpart.,Valentina Palladino,2019-10-17,Includes USB-A ports and an HDMI port,16:9 aspect ratio,https://arstechnica.com/gadgets/2019/10/acer-swift-3-review-better-as-a-budget-device-than-as-a-mid-range-laptop/
"iPadOS review: The iPad is dead, long live the iPad",https://cdn.arstechnica.net/wp-content/uploads/2019/10/iPadOS-header-760x380.png,"Step by step, Apple is taking the iPad in a wholly new direction.",Samuel Axon,2019-10-11,12.9-inch iPad Pro,"
            ",https://arstechnica.com/gadgets/2019/10/ipados-review-the-ipad-is-dead-long-live-the-ipad/
Garmin Venu review: Fitness expertise with many pixels left to fill,https://cdn.arstechnica.net/wp-content/uploads/2019/10/venu20-760x380.jpg,"Garmin dives into AMOLED with this $399 smartwatch, but the execution is shallow.",Valentina Palladino,2019-10-15,Bold and bright AMOLED display.,Only one case size.,https://arstechnica.com/gadgets/2019/10/garmin-venu-review-fitness-expertise-with-many-pixels-left-to-fill/
Acer Swift 7 review: Thinness above all else demands many compromises,https://cdn.arstechnica.net/wp-content/uploads/2018/11/swift72018_9-760x380.jpg,"Its design may be impressive, but the whole package doesn't match its $1,699 price.",Valentina Palladino,2018-11-08,Attractive thin design.,No Thunderbolt 3.,https://arstechnica.com/gadgets/2018/11/acer-swift-7-review-thinness-above-all-else-demands-many-compromises/
Withings Pulse HR review: A longer-lasting competitor to Fitbit’s Alta HR,https://cdn.arstechnica.net/wp-content/uploads/2019/01/pulsehr2-760x380.jpg,"A 20-day battery life defines this unassuming, $129 tracker.",Valentina Palladino,2019-01-20,,,https://arstechnica.com/gadgets/2019/01/withings-pulse-hr-review-a-longer-lasting-competitor-to-fitbits-alta-hr/
Pixel Slate review: Paying the “Google” premium for Chrome OS,https://cdn.arstechnica.net/wp-content/uploads/2018/11/pixelslate11-760x380.jpg,"Starting at $599, the overpriced tablet showcases Chrome OS' promising tablet future.",Valentina Palladino,2018-11-29,,,https://arstechnica.com/gadgets/2018/11/pixel-slate-review-paying-the-google-premium-for-chrome-os/
Huawei Matebook 13 review: A cheaper Matebook X Pro with killer performance,https://cdn.arstechnica.net/wp-content/uploads/2019/01/matebook13_review_2-760x380.jpg,"This $1,299 laptop is stiff competition for Huawei's own $1,499 Matebook X Pro.",Valentina Palladino,2019-01-29,Minimalist yet sturdy design.,No Thunderbolt 3.,https://arstechnica.com/gadgets/2019/01/huawei-matebook-13-review-a-cheaper-matebook-x-pro-with-killer-performance/
"Blackmagic eGPU Pro mini-review: Quiet, fast, and extremely expensive—like a Mac",https://cdn.arstechnica.net/wp-content/uploads/2019/04/Blackmagic-eGPU-Pro-ports-760x380.jpeg,The higher-end cousin to Blackmagic's first Mac eGPU delivers where it counts.,Samuel Axon,2019-04-26,,,https://arstechnica.com/gadgets/2019/04/blackmagic-egpu-pro-mini-review-quiet-fast-and-extremely-expensive-like-a-mac/
XPS 13 2019 review: One small move made Dell’s best laptop even better,https://cdn.arstechnica.net/wp-content/uploads/2019/02/xps132019_1-760x380.jpg,Key fixes in this year's model mean the $899 XPS 13 has few things holding it back.,Valentina Palladino,2019-02-25,,,https://arstechnica.com/gadgets/2019/02/dell-xps-13-2019-review-small-and-mighty-now-with-a-proper-webcam/
Fitbit Inspire HR review: A worthy $99 investment in your health,https://cdn.arstechnica.net/wp-content/uploads/2019/03/fitbitinspireHR1-760x380.jpg,Fitbit packed many essentials into its $99 replacement for the Alta HR.,Valentina Palladino,2019-03-12,,,https://arstechnica.com/gadgets/2019/03/fitbit-inspire-hr-review-a-worthy-99-investment-in-your-health/
Huawei Watch GT review: When hardware and software don’t mesh,https://cdn.arstechnica.net/wp-content/uploads/2018/12/huaweiwatchgt14-760x380.jpg,"Huawei's wearable OS could be great, but it doesn't fit this $230 smartwatch.",Valentina Palladino,2018-12-16,,,https://arstechnica.com/gadgets/2018/12/huawei-watch-gt-review-a-pricey-companion-for-the-limited-liteos/
Guidemaster: The best Windows ultrabooks you can buy right now,https://cdn.arstechnica.net/wp-content/uploads/2019/03/DSC_7329-760x380.jpg,Ars tests out the biggest flagship laptops to see which are worth your money.,Valentina Palladino,2019-03-20,Geekbench 4,"
            ",https://arstechnica.com/gadgets/2019/03/guidemaster-the-best-windows-ultrabooks-you-can-buy-right-now/
Pixelbook Go review: A cheaper Pixelbook does not come without compromises,https://cdn.arstechnica.net/wp-content/uploads/2019/10/pixelbookgo6-760x380.jpg,Keeping costs low means eliminating some features from Google's new $649 Chromebook.,Valentina Palladino,2019-10-25,,,https://arstechnica.com/gadgets/2019/10/pixelbook-go-review-a-cheaper-pixelbook-does-not-come-without-compromises/
"HP Elite Dragonfly review: Luxurious, professional, expensive",https://cdn.arstechnica.net/wp-content/uploads/2019/12/elitedragonfly2-760x380.jpg,"This is a whole new look for the Elitebook line, and it starts at $1,549.",Valentina Palladino,2019-12-15,,,https://arstechnica.com/gadgets/2019/12/hp-elite-dragonfly-review/
"The 2019 iPad races to the bottom (price-wise), but it’s not so bad down there",https://cdn.arstechnica.net/wp-content/uploads/2019/10/2019-iPad-hero-760x380.jpg,"Apple's new entry-level tablet delivers the basics, and that will be enough for some.",Samuel Axon,2019-10-23,,,https://arstechnica.com/gadgets/2019/10/mini-review-the-2019-ipad-has-a-new-skin-but-its-mostly-the-same-tablet/
Mini-review: Fitbit’s Versa Lite favors affordability over unnecessary features,https://cdn.arstechnica.net/wp-content/uploads/2019/03/versalite9-760x380.jpg,"If the original Versa was overkill for you, the Versa Lite may be a better option.",Valentina Palladino,2019-03-23,,,https://arstechnica.com/gadgets/2019/03/mini-review-fitbit-sticks-to-the-bare-necessities-in-the-159-versa-lite/
iPad Air and iPad mini 2019 review: Apple’s tablets strike an ideal balance,https://cdn.arstechnica.net/wp-content/uploads/2019/04/iPad-mini-home-760x380.jpeg,These are clearly more appealing to most people than Apple's 2018 iPad or iPad Pro.,Samuel Axon,2019-04-16,"
            ","
            ",https://arstechnica.com/gadgets/2019/04/ipad-air-and-ipad-mini-2019-review-apples-tablets-strike-an-ideal-balance/
"HP Elitebook x360 1040 G5 review: A little bit bigger, a little bit better",https://cdn.arstechnica.net/wp-content/uploads/2019/02/elitebookx3601040_3-760x380.jpg,"It's similar to HP's 13-inch convertible, but extra screen space makes a difference.",Valentina Palladino,2019-02-18,"Relatively compact design, even with its 14-inch display",No microSD card slot,https://arstechnica.com/gadgets/2019/02/hp-elitebook-x360-1040-g5-review-a-little-bit-bigger-a-little-bit-better/
Samsung Galaxy S20 vs. iPhone 11 Pro: A deeper division lurks beneath the spec sheets,https://cdn.arstechnica.net/wp-content/uploads/2020/02/Galaxy-S20-S20-Plus-S20-Ultra-2-760x380.jpg,There are more important concerns for buyers than feature lists.,Samuel Axon,2020-02-13,,,https://arstechnica.com/gadgets/2020/02/samsung-galaxy-s20-vs-iphone-11-pro-a-deeper-division-lurks-beneath-the-specs-sheets/
"2019 16-inch MacBook Pro review: Bye-bye, butterfly",https://cdn.arstechnica.net/wp-content/uploads/2019/11/2019-16-inch-escape-key-760x380.jpeg,Apple’s new laptop seems designed to address three years of user complaints.,Samuel Axon,2019-11-25,,,https://arstechnica.com/gadgets/2019/11/2019-16-inch-macbook-pro-review-bye-bye-butterfly/
iPhone XR review: Keeping compromises to a minimum,https://cdn.arstechnica.net/wp-content/uploads/2018/11/iPhone-XR-front-view-760x380.jpg,Apple’s slightly cheaper handset is the best new iPhone for most people.,Samuel Axon,2018-11-05,,,https://arstechnica.com/gadgets/2018/11/iphone-xr-review-keeping-compromises-to-a-minimum/
"Garmin Vivosmart 4 review: An affordable band for easy fitness, SpO2 data",https://cdn.arstechnica.net/wp-content/uploads/2018/10/garminvivosmart4_2-760x380.jpg,The $129 band looks better and tracks more than any previous Vivosmart device.,Valentina Palladino,2018-10-27,,,https://arstechnica.com/gadgets/2018/10/garmin-vivosmart-4-review-the-attractive-new-face-of-the-vivosmart-line/
HP Spectre x360 13 review: A high-end two-in-one that’s hard to beat,https://cdn.arstechnica.net/wp-content/uploads/2020/01/spectrex36013_2019_14-760x380.jpg,"There wasn't a lot to fix, so HP added a few features to make this convertible even better.",Valentina Palladino,2020-01-13,,,https://arstechnica.com/gadgets/2020/01/hp-spectre-x360-13-review-a-high-end-2-in-1-thats-hard-to-beat/
OK Computer: The iPad Pro 2020 review,https://cdn.arstechnica.net/wp-content/uploads/2020/03/ipad-outside-pumped-760x380.jpg,Pointer support and an AR sensor come to the iPad.,Samuel Axon,2020-03-26,"
            ",,https://arstechnica.com/gadgets/2020/03/ok-computer-the-ipad-pro-2020-review/
Pixel 3 XL review—Google software deserves better than this hardware,https://cdn.arstechnica.net/wp-content/uploads/2018/10/11-760x380.jpg,"The best camera ever, really great performance, and dated, greasy hardware. ",Ron Amadeo,2018-10-15,"
            ",,https://arstechnica.com/gadgets/2018/10/pixel-3-xl-review-great-software-but-google-just-isnt-a-hardware-leader/
Lenovo Yoga C930 2-in-1 review: Hidden features in all the right places,https://cdn.arstechnica.net/wp-content/uploads/2018/10/yogac930_1-760x380.jpg,"The $1,299 upgrade cleverly solves some of the problems that plagued the C920.",Valentina Palladino,2018-10-26,Sleek all-metal design.,Speakers aren't as loud as they could be.,https://arstechnica.com/gadgets/2018/10/lenovo-yoga-c930-2-in-1-review-hidden-features-in-all-the-right-places/
Fitbit Charge 3 review: Peppering a fitness tracker with smartwatch powers,https://cdn.arstechnica.net/wp-content/uploads/2018/10/fitbitcharge3_13-760x380.jpg,"It almost has everything you'd expect in a $150 tracker, plus a few new tricks.",Valentina Palladino,2018-10-12,,,https://arstechnica.com/gadgets/2018/10/fitbit-charge-3-review-peppering-a-fitness-tracker-with-smartwatch-powers/
Fitbit Versa review: Slowly but surely pushing Fitbit past the “fit” bit,https://cdn.arstechnica.net/wp-content/uploads/2018/03/fitbitversa12-760x380.jpg,"If you think Fitbit is just for fitness, this $200 smartwatch might change your mind.",Valentina Palladino,2018-03-26,,,https://arstechnica.com/gadgets/2018/03/fitbit-versa-review-slowly-but-surely-pushing-fitbit-past-the-fit-bit/
The 25th-anniversary ThinkPad: Every laptop should add some retro appeal,https://cdn.arstechnica.net/wp-content/uploads/2018/03/IMG_20180322_124819_edited-760x380.jpg,Review: A seven-row keyboard? Matte screen? TrackPoint? The all-business black body? Swoon,Peter Bright,2018-04-01,,,https://arstechnica.com/gadgets/2018/04/the-25th-anniversary-thinkpad-every-laptop-should-add-some-retro-appeal/
Far Cry 5 review: Five steps back,https://cdn.arstechnica.net/wp-content/uploads/2018/03/FC5-3-760x380.jpg,A vapid plot and some clever sidequests don't deliver on the series' new structure.,Steven Strom,2018-03-27,,,https://arstechnica.com/gaming/2018/03/far-cry-5-review-five-steps-back/
2018 iPad review: Content creation with compromises,https://cdn.arstechnica.net/wp-content/uploads/2018/04/IMG_4114-760x380.jpg,"This consumption device wants to be a creative one, too, but is a Pencil enough?",Samuel Axon,2018-04-06,,,https://arstechnica.com/gadgets/2018/04/2018-ipad-review-content-creation-with-compromises/
"Samsung Notebook 9 Pen review: Stylus convenience, devoid of style",https://cdn.arstechnica.net/wp-content/uploads/2018/03/notebook9pen1-760x380.jpg,"This two-in-one doesn't look like a $1,399 device, and yet it's priced as such.",Valentina Palladino,2018-04-04,,,https://arstechnica.com/gadgets/2018/04/samsung-notebook-9-pen-review-stylus-convenience-devoid-of-style/
ThinkPad X1 Carbon 2018 review: The only laptop in a professional’s paradise,https://cdn.arstechnica.net/wp-content/uploads/2018/03/x1carbon2018_18-760x380.jpg,Lenovo's lightweight ThinkPad ticks all the boxes of a great work notebook.,Valentina Palladino,2018-03-29,,,https://arstechnica.com/gadgets/2018/03/thinkpad-x1-carbon-2018-review-the-only-laptop-in-a-professionals-paradise/
Owl Car Cam review: A data-connected dash cam for car lovers,https://cdn.arstechnica.net/wp-content/uploads/2018/04/owlcarcam10-760x380.jpg,Would you pay a monthly fee to know about any and all disturbances around your car?,Valentina Palladino,2018-04-19,,,https://arstechnica.com/gadgets/2018/04/owl-car-cam-review-lte-data-makes-for-a-pricier-more-secure-dash-cam/
Huawei Matebook X Pro review: No longer just a MacBook clone,https://cdn.arstechnica.net/wp-content/uploads/2018/04/matebookxpro5-760x380.jpg,Huawei’s strategic choices make this new laptop much better than the original.,Valentina Palladino,2018-04-10,,,https://arstechnica.com/gadgets/2018/04/huawei-matebook-x-pro-review-no-longer-just-a-macbook-clone/
Google Daydream VR goes standalone with Lenovo’s Mirage Solo,https://cdn.arstechnica.net/wp-content/uploads/2018/05/Mirage-Solo-6-760x380.jpg,"The hardware works, and the Mirage Camera can be fun, but there's nothing to change minds here.",Peter Bright,2018-05-05,,,https://arstechnica.com/gadgets/2018/05/google-daydream-vr-goes-standalone-with-lenovos-mirage-solo/
Oculus Go review: The wireless-VR future begins today for only $199,https://cdn.arstechnica.net/wp-content/uploads/2018/04/IMG_5439-760x380.jpg,"Low-priced VR limits can't be ignored, but the great absolutely outweighs the bad.",Sam Machkovech,2018-05-01,,,https://arstechnica.com/gaming/2018/05/oculus-go-review-the-wireless-vr-future-begins-today-for-only-199/
"Nintendo Labo tests, part one: Robot Kit’s cardboard stomps are fun but shallow",https://cdn.arstechnica.net/wp-content/uploads/2018/05/IMG_5872-1-760x380.jpg,"Kaiju-stomping half of Labo is intentionally thin. For many, that might be fine.",Sam Machkovech,2018-05-13,,,https://arstechnica.com/gaming/2018/05/nintendo-labo-tests-part-one-robot-kits-cardboard-stomps-are-fun-but-shallow/
Dell XPS 15 2-in-1 review: Meet the child of Intel and AMD’s unholy union,https://cdn.arstechnica.net/wp-content/uploads/2018/05/IMG_4230-760x380.jpg,A chipset that combines Intel's CPU with AMD's GPU makes the XPS 15 thinner.,Samuel Axon,2018-05-23,,,https://arstechnica.com/gadgets/2018/05/dell-xps-15-2-in-1-review-kaby-lake-g-makes-dells-good-laptop-a-bit-better/
"HP’s ZBook x2: It’s powerful, it’s specialized, and it’s very expensive",https://cdn.arstechnica.net/wp-content/uploads/2018/05/zbook-x2-front-760x380.jpg,"Review: HP has packed a lot of power into its tablet, but it comes at a big cost.",Peter Bright,2018-05-27,,,https://arstechnica.com/gadgets/2018/05/hps-zbook-x2-a-uniquely-powerful-riff-on-the-productive-tablet/
"HP Spectre 15 x360 2018 review: Made better by standard 4K, great battery life",https://cdn.arstechnica.net/wp-content/uploads/2018/05/spectrex360152018_24-760x380.jpg,"It may not be the most portable machine, but it fixes many previous problems.",Valentina Palladino,2018-05-25,,,https://arstechnica.com/gadgets/2018/05/hp-spectre-15-x360-2018-review-made-better-by-standard-4k-great-battery-life/
Acer Chromebook Tab 10 review: Chrome OS revives Google’s tablet future,https://cdn.arstechnica.net/wp-content/uploads/2018/06/chromebooktab10_15-760x380.jpg,"Acer made a capable tablet, but Google still has to work out kinks in Chrome OS.",Valentina Palladino,2018-06-23,,,https://arstechnica.com/gadgets/2018/06/acer-chromebook-tab-10-review-a-good-but-not-great-first-chrome-os-tablet/
Nokia 6.1 Review—The best answer to “What Android phone should I buy?”,https://cdn.arstechnica.net/wp-content/uploads/2018/06/1-760x380.jpg,HMD does nearly everything right with this $269 wonder phone. ,Ron Amadeo,2018-07-13,,,https://arstechnica.com/gadgets/2018/07/nokia-6-1-review-the-perfect-phone-for-your-friends-and-family/
"2018 15-inch MacBook Pro review: Better, faster, stronger?",https://cdn.arstechnica.net/wp-content/uploads/2018/07/2018-MacBook-Pro-Logic-760x380.jpg,"It offers a huge year-over-year speed boost, but there's still one big unknown.",Samuel Axon,2018-07-24,,,https://arstechnica.com/gadgets/2018/07/2018-15-inch-macbook-pro-review-better-faster-stronger-throttle-ier/
Intel Coffee Lake Core i7-8700K review: The best gaming CPU you can buy,https://cdn.arstechnica.net/wp-content/uploads/2017/10/DSC09738-760x380.jpg,It even beats an eight-core Ryzen in many content creation apps—but boy does it run hot.,Mark Walton,2017-10-05,,,https://arstechnica.com/gadgets/2017/10/intel-coffee-lake-8700k-review/
Agents of Mayhem review: Destroying a really dull open world,https://cdn.arstechnica.net/wp-content/uploads/2017/08/Mayhem-8-760x380.jpg,Saturday morning cartoon style struggles against a fatiguing open world.,Steven Strom,2017-08-18,"Light, cartoony flair is a nice departure from drabber open-world games",Missions and side activities are incredibly repetitive,https://arstechnica.com/gaming/2017/08/agents-of-mayhem-review-g-i-joe-meets-grand-theft-auto/
"Nidhogg 2 review: Violent, disgusting, and hilariously fun",https://cdn.arstechnica.net/wp-content/uploads/2017/08/nidhogg2-approved-760x380.jpg,"A better game for series fans old and new, this is everything a great sequel should be.",Sam Machkovech,2017-08-19,"Original game's solid formula has been intelligently built upon, not thrown out.","Online mode sacrifices speed for frame-perfect accuracy, so it can feel clunky even on a good connection.",https://arstechnica.com/gaming/2017/08/nidhogg-2-review-violent-disgusting-and-hilariously-fun/
Mario + Rabbids Kingdom Battle is a great introduction to tactical RPGs,https://cdn.arstechnica.net/wp-content/uploads/2017/08/2017082120141100-9600BAE614E6833B1A261F5FB229CDBA-760x380.jpg,"Odd combo is more peanut butter and chocolate than, say, steak and chocolate.",Kyle Orland,2017-08-28,Lots of variety in enemies and situations keeps things fresh.,Lucky shots can carry you through or ruin a battle quickly.,https://arstechnica.com/gaming/2017/08/mario-rabbids-kingdom-battle-is-a-great-introduction-to-tactical-rpgs/
"StarCraft Remastered review: Brood War keeps on ticking, clicking",https://cdn.arstechnica.net/wp-content/uploads/2017/08/SCR-1-760x380.png,"A $15 coat of paint doesn't disturb the venerated classic, warts and all.",Steven Strom,2017-08-21,Higher-resolution art looks great—especially in widescreen.,Some of the completely redone art is a little generic.,https://arstechnica.com/gaming/2017/08/starcraft-remastered-review-brood-war-keeps-on-ticking-clicking/
Knack II review: A slightly better class of boring,https://cdn.arstechnica.net/wp-content/uploads/2017/09/Knack-1-760x380.jpg,Sequel improves on the PS4 launch title but ends up utterly forgettable.,Steven Strom,2017-09-05,"Surprisingly complex, satisfying combat",Completely unremarkable story and characters,https://arstechnica.com/gaming/2017/09/knack-ii-review-kick-jump-repeat-until-bored/
I’ve fallen in love with a laptop—the Lenovo ThinkPad X1 Yoga,https://cdn.arstechnica.net/wp-content/uploads/2017/09/lenovo-thinkpad-x1-yoga-gen-2-3-760x380.png,Review: Lenovo has built the platonic ideal of a modern laptop.,Peter Bright,2017-09-09,,,https://arstechnica.com/gadgets/2017/09/ive-fallen-in-love-with-a-laptop-the-lenovo-thinkpad-x1-yoga/
"Android 8.0 Oreo, thoroughly reviewed",https://cdn.arstechnica.net/wp-content/uploads/2017/08/Android-8.0-Oreo-760x380.jpg,"We take a 20,000 word deep-dive on Android's ""foundational"" upgrades.",Ron Amadeo,2017-09-04,,,https://arstechnica.com/gadgets/2017/09/android-8-0-oreo-thoroughly-reviewed/
"iOS 11, thoroughly reviewed",https://cdn.arstechnica.net/wp-content/uploads/2017/09/DSC07004-760x380.jpg,"Wide-ranging update is full of changes, but iPad benefits the most.",Andrew Cunningham,2017-09-19,,,https://arstechnica.com/gadgets/2017/09/ios-11-thoroughly-reviewed/
"Tooth and Tail review: Delightful, rodent-riddled StarCraft for the rest of us",https://cdn.arstechnica.net/wp-content/uploads/2017/09/tooth_screen1_armies-760x380.png,"Yes, you can play a deep, fantastic RTS game with only a gamepad.",Sam Machkovech,2017-09-17,,,https://arstechnica.com/gaming/2017/09/tooth-and-tail-review-delightful-rodent-riddled-starcraft-for-the-rest-of-us/
"iOS 11 on the iPhone 5S: Slower, but not quite slow",https://cdn.arstechnica.net/wp-content/uploads/2017/09/DSC07026-760x380.jpg,"The 5S is slower for sure, but it's still faster than the iPhone 5 on iOS 10.",Andrew Cunningham,2017-09-19,,,https://arstechnica.com/gadgets/2017/09/ios-11-on-the-iphone-5s-slower-but-not-quite-slow/
iPhone 8 and 8 Plus review: The curious case of the time-traveling phone,https://cdn.arstechnica.net/wp-content/uploads/2017/09/IMG_3278-760x380.jpg,"The iPhone 8 is a great phone, but who is it for?",Samuel Axon,2017-09-28,,,https://arstechnica.com/gadgets/2017/09/iphone-8-and-8-plus-review-the-curious-case-of-the-time-traveling-phone/
"Intel Core i9-7960X review: It beats Threadripper, but for a price",https://cdn.arstechnica.net/wp-content/uploads/2017/09/DSC09619-760x380.jpg,80% more cash than a 1950X for less than 20% more performance? Tough sell.,Mark Walton,2017-09-25,,,https://arstechnica.com/gadgets/2017/09/intel-core-i9-7960x-review/
macOS 10.13 High Sierra: The Ars Technica review,https://cdn.arstechnica.net/wp-content/uploads/2017/09/image_large_2x-760x380.jpg,A focus on foundation makes for an important but nigh-invisible update.,Andrew Cunningham,2017-09-25,,,https://arstechnica.com/gadgets/2017/09/macos-10-13-high-sierra-the-ars-technica-review/
Forza Motorsport 7 reviewed: Racing fun for everyone,https://cdn.arstechnica.net/wp-content/uploads/2017/09/ForzaMotorsport7_Preview_SoManyDifferentCars-760x380.jpg,"It feels like a Greatest Hits of the franchise, but there are a few misses on the way.",Jonathan M. Gitlin,2017-09-28,,,https://arstechnica.com/gaming/2017/09/forza-motorsport-7-reviewed-racing-fun-for-everyone/
Logitech Craft review: A slick keyboard combo that takes on the Surface Dial,https://cdn.arstechnica.net/wp-content/uploads/2017/10/DSC09771-760x380.jpg,"It's not cheap, but Craft is well built and offers a great experience for creatives.",Mark Walton,2017-10-11,Excellent build quality,Steep price,https://arstechnica.com/gadgets/2017/10/logitech-craft-review/
"Apple TV 4K review: Ambition, meet reality",https://cdn.arstechnica.net/wp-content/uploads/2017/10/Apple-TV-4K-760x380.jpg,"Image quality is great, but the admirable TV app moonshot didn't quite make it.",Samuel Axon,2017-10-09,,,https://arstechnica.com/gadgets/2017/10/apple-tv-4k-review-ambition-meet-reality/
Google Pixelbook review: Prepared today for the possible reality of tomorrow,https://cdn.arstechnica.net/wp-content/uploads/2017/10/googlepixelbook3-760x380.jpg,"I'm not ready for the future the Pixelbook is made for, and neither is Chrome OS.",Valentina Palladino,2017-10-26,,,https://arstechnica.com/gadgets/2017/10/google-pixelbook-review-prepared-today-for-the-possible-reality-of-tomorrow/
"Garmin Vivosmart 3 review: Shots fired at Fitbit, but some don’t hit",https://cdn.arstechnica.net/wp-content/uploads/2017/04/vivosmart3_12-760x380.jpg,"Rep counting in a $140 device is great, but that's not the whole story.",Valentina Palladino,2017-04-26,,,https://arstechnica.com/gadgets/2017/04/garmin-vivosmart-3-review-beefing-up-the-vivo-line-with-new-and-borrowed-features/
Prey impressions: Underpowered and loving it,https://cdn.arstechnica.net/wp-content/uploads/2017/05/prey3-760x380.jpg,"Early going is a struggle for survival in a gleaming, threatening space station.",Kyle Orland,2017-05-05,,,https://arstechnica.com/gaming/2017/05/hands-on-in-prey-youll-love-being-weak-vulnerable-and-hunted/
