PIC,Title,Author,Pros,Cons,OCN,Summary,Verdict,URL,Date,Review_Date,Score,Scale,SID,Product_Name
https://i.rtings.com/images/reviews/tv/lg/c7/c7-design-medium.jpg,"LG C7 OLED Review (OLED55C7P, OLED65C7P)",Daniel O'Keeffe,Perfect blacks produce an infinite contrast ratio,Temporary retention can happen when static images stay on screen too long,TV,The 4k LG C7 OLED TV offers excellent picture quality thanks to its ability to display true blacks. It's especially good for gaming thanks to its very low input ...,"Great TV overall. The LG C7 has great picture quality with almost every usage. Its blacks and motion blur are as good as it gets. Movie performance is exceptional, and gaming is as good as it gets.",https://www.rtings.com/tv/reviews/lg/c7-oled,2017-04-13,2017-04-13 00:00:00,8.6,10,lg/c7-oled,"LG C7 OLED (OLED55C7P, OLED65C7P)"
https://i.rtings.com/images/reviews/tv/lg/e7p/e7p-design-medium.jpg,"LG E7 OLED Review (OLED55E7P, OLED65E7P)",Daniel O'Keeffe,Exceptional picture quality thanks to perfect blacks,Static content is temporarily retained on screen,TV,The LG E7 OLED is a great 4k smart TV which features excellent picture quality and a well-rounded set of features that make it a versatile package. It has a dedi...,"Great TV for a mixed usage. The LG E7P OLED TV offers excellent picture quality in almost every environment, and its versatile set of features make it fit with just about any usage. It's not quite as bright as some LED TVs, but it isn't an issue in most cases.",https://www.rtings.com/tv/reviews/lg/e7-oled,2017-10-10,2017-10-10 00:00:00,8.7,10,lg/e7-oled,"LG E7 OLED (OLED55E7P, OLED65E7P)"
https://i.rtings.com/images/reviews/tv/lg/uk6570/uk6570-design-medium.jpg,"LG UK6570 Review (70UK6570, 75UK6570, 86UK6570)",Adam Babcock,Image remains accurate when viewed at an angle,Disappointing dark room performance,TV,"The LG UK6570PUB is a good 4k IPS TV with wide viewing angles and outstanding low input lag, the best we've tested so far on a TV. It has excellent gradient hand...","The LG 75UK6570 is a good TV for most uses.  It is well suited for gaming in SDR or watching TV shows and sports during the day. Unfortunately, dark room performance might be disappointing to some people, and although it supports HDR, there is little benefit to it as it lacks a wide color gamut and isn't very bright in HDR. The wide viewing angles, low input lag, and chroma 4:4:4 support make it a great choice for a computer monitor.",https://www.rtings.com/tv/reviews/lg/uk6570,2018-10-09,2018-10-09 00:00:00,7.6,10,lg/uk6570,"LG UK6570 (70UK6570, 75UK6570, 86UK6570)"
https://i.rtings.com/images/reviews/tv/lg/uk6300/uk6300-design-medium.jpg,"LG UK6300 Review (43UK6300, 49UK6300, 50UK6300, 55UK6300, 65UK6300)",Daniel O'Keeffe,Feels responsive with low input lag,Blacks appear gray in a dark room,TV,"The LG UK6300 is a decent RGBW IPS TV with wide viewing angles, so it remains accurate when viewed at an angle. It also has low input lag so feels responsive. Un...","The LG UK6300 is a decent TV for mixed usage. It has decent picture quality and a passable viewing angle, but it isn't able to overcome glare in a bright room and has poor dark room performance. It has a good smart interface and extraordinarily low input lag.",https://www.rtings.com/tv/reviews/lg/uk6300,2018-05-08,2018-05-08 00:00:00,7.1,10,lg/uk6300,"LG UK6300 (43UK6300, 49UK6300, 50UK6300, 55UK6300, 65UK6300)"
https://i.rtings.com/images/reviews/headphones/ylife/true-wireless-earbuds/true-wireless-earbuds-design-medium.jpg,Ylife True Wireless Earbuds Review,Jake Thauvette,Case holds up to 18 charges; can be used as a power bank.,Poor single charge battery life. ,Headphones,"The Ylife True Wireless Earbuds are acceptable truly wireless in-ears for mixed usage. They have a fairly neutral sound profile, although some people might feel ...","The Ylife True Wireless Earbuds are okay for mixed usage. The sound is fairly neutral but might lack too much detail for some. One of the bigger upsides to these earbuds is the case, which holds up to 18 charges plus has a USB-A output so you can charge your phone with it, but the earbuds' battery life is poor. They're very portable, making them good for sports and fitness, and like most in-ears, they won't hold much heat in. Their microphone recording quality is poor, so they're not recommended for phone calls, but they're good at isolating noise, so you can enjoy your music in most environments.",https://www.rtings.com/headphones/reviews/ylife/true-wireless-earbuds,2020-02-20,2020-02-20 00:00:00,7.0,10,ylife/true-wireless-earbuds,Ylife True Wireless Earbuds
https://i.rtings.com/images/reviews/tv/lg/sk8000/sk8000-design-medium.jpg,"LG SK8000 Review (49SK8000, 55SK8000, 65SK8000)",Daniel O'Keeffe,Excellent low input lag,Blacks appear gray and blotchy in a dark room,TV,"The LG SK8000 is a good TV for mixed usage, with only decent picture quality but very good motion handling. When viewed in the dark, the low contrast ratio resul...","The LG SK8000 is a good TV for mixed usage. It is best suited to viewing in a room with a decent amount of ambient light. Dark room performance is poor and it doesn't get bright enough to overcome glare. HDR doesn't add much when watching movies or gaming. It has excellent input lag and a fast response time, so fast action looks great whether it be in a hockey game or the latest action movie.",https://www.rtings.com/tv/reviews/lg/sk8000,2018-05-31,2018-05-31 00:00:00,7.6,10,lg/sk8000,"LG SK8000 (49SK8000, 55SK8000, 65SK8000)"
https://i.rtings.com/images/reviews/headphones/xfyro/xs2/xs2-design-medium.jpg,XFYRO xS2 Truly Wireless Review,Marc Henney,Good isolation performance.,Sub-par battery life.,Headphones,"The xFyro xS2 are decent mixed usage truly wireless in-ears with a few flaws. They are decently comfortable, but the in-ear fit might not be for everyone. They’r...","Decent mixed usage headphones. They won’t have a great audio reproduction necessary for critical listening, but their portable design and good isolation performance make them an above-average choice for commuting and to use at the office. They are also stable enough for light sports activities, and their in-ear design won’t trap heat. However, they have higher-than-average Bluetooth latency and will not be suitable for gaming and watching TV. ",https://www.rtings.com/headphones/reviews/xfyro/xs2-truly-wireless,2019-01-16,2019-01-16 00:00:00,7.0,10,xfyro/xs2-truly-wireless,XFYRO xS2 Truly Wireless
https://i.rtings.com/images/reviews/headphones/westone/w40/w40-design-medium.jpg,Westone W40 Review,Sam Vafaei,Good noise isolation and low leakage.,Below-average sound quality.,Headphones,"The Westone W40 are well-designed and durable in-ear headphones. They're stable enough for sports use, and they're portable, so they're easy to carry on you at a...","The W40 are decent mixed usage headphones. They have a sturdy, durable design and a stable, comfortable in-ear fit. They also isolate quite well in loud environments and barely leak even at high volumes. This makes them above-average headphones for sports and office use and thanks to their high passive isolation they do well as commuting headphones too. Unfortunately, they have a subpar sound that may disappoint serious listeners.",https://www.rtings.com/headphones/reviews/westone/w40,2017-05-18,2017-05-18 00:00:00,6.8,10,westone/w40,Westone W40
https://i.rtings.com/images/reviews/headphones/venstone/x1/x1-design-medium.jpg,Venstone X1 Review,Sam Vafaei,Stable ear-hook design.,Poor noise isolation.,Headphones,"The Venstone X1 are low budget in-ear headphones that have a simple, stable design for sports use. Unfortunately, they have a subpar and uneven audio reproductio...","The Venstone X1 are not the most well-rounded headphones. They have a stable ear-hook design, and they're compact. However, their sound is uneven, and they don't seem that durable.",https://www.rtings.com/headphones/reviews/venstone/x1,2016-07-25,2016-07-25 00:00:00,6.3,10,venstone/x1,Venstone X1
https://i.rtings.com/images/reviews/tv/lg/uk7700/uk7700-design-medium.jpg,"LG UK7700 Review (55UK7700, 65UK7700)",Daniel O'Keeffe,Feels very responsive due to excellent input lag,Blacks are gray and blotchy in a dark room,TV,The LG UK7700 is a good 4k IPS TV for a wide range of usages. It has good gray uniformity so not much dirty screen effect is noticeable when watching sports or p...,"The LG UK7700 is a very good TV for mixed usage as it can handle reflections well, making it suitable for bright rooms even though the TV does not get too bright. Motion handling is decent and the TV can perform very well with video games and as a PC monitor due to its excellent low input lag.",https://www.rtings.com/tv/reviews/lg/uk7700,2018-07-03,2018-07-03 00:00:00,7.5,10,lg/uk7700,"LG UK7700 (55UK7700, 65UK7700)"
https://i.rtings.com/images/reviews/headphones/turtle-beach/elite-800/elite-800-design-medium.jpg,Turtle Beach Elite 800 Wireless Review,Sam Vafaei,"Futuristic looking, sturdy design",Poor noise cancellation,Headphones,"The Turtle Beach Elite 800 gaming headset are comfortable and have a lot of features. Unfortunately, they don't have a great sound quality and they don't block a...","The Turtle Beach Elite 800 headset are best used as gaming headphones although they do have enough features to be moderately versatile headphones. However, their size makes them a bit cumbersome and not suited for sports or physical activity.",https://www.rtings.com/headphones/reviews/turtle-beach/elite-800-wireless,2017-12-12,2017-12-12 00:00:00,6.9,10,turtle-beach/elite-800-wireless,Turtle Beach Elite 800 Wireless
https://i.rtings.com/images/reviews/headphones/v-moda/crossfade-m-100/crossfade-m-100-design-medium.jpg,V-MODA Crossfade M-100 Review,Sam Vafaei,Good audio reproduction.,Poor noise isolation.,Headphones,"The V-MODA Crossfade M-100 are stylish and customizable headphones, with an above-average sound for critical listening. They have a durable build quality and a s...","The V-MODA Crossfade M-100 are decent headphones for everyday casual use. They have a tough, durable build quality and an above average sound quality. Unfortunately, they're not versatile enough for all use cases. They leak quite a bit and don't isolate well in loud environments.",https://www.rtings.com/headphones/reviews/v-moda/crossfade-m-100,2016-09-08,2016-09-08 00:00:00,6.1,10,v-moda/crossfade-m-100,V-MODA Crossfade M-100
https://i.rtings.com/images/reviews/headphones/v-moda/crossfade-ii-wireless/crossfade-ii-wireless-design-medium.jpg,V-MODA Crossfade 2 Wireless Review,Sam Vafaei,Great build quality.,Poor isolation.,Headphones,"The V-Moda Crossfade 2 Wireless improve on their previous wireless model, with a more comfortable and portable design. They're stable enough to run with, and the...","Above-average for mixed usage. The V-Moda Crossfade 2 are a decent everyday casual pair of headphones that sound good enough for most listeners and have a sturdy and durable build quality. Unfortunately, they won't be ideal for all situations as they don't block that much noise and they lack a bit in active features, especially, for their price range.",https://www.rtings.com/headphones/reviews/v-moda/crossfade-2-wireless,2017-06-08,2017-06-08 00:00:00,6.6,10,v-moda/crossfade-2-wireless,V-MODA Crossfade 2 Wireless
https://i.rtings.com/images/reviews/headphones/v-moda/bassfit-wireless/bassfit-wireless-design-medium.jpg,V-MODA BassFit Wireless Review,Jean-Simon Bonneterre,Very stable for sports.,Poor noise isolation.,Headphones,"The V-MODA BassFit are very good sports headphones, but won’t be versatile for everyday casual use since their isolation performance isn’t the best. Also, they a...","Okay for mixed usage. The V-MODA BassFit have good audio reproduction for critical listening, but their isolation performance isn’t the best for commuting since they don’t block out lower-frequency engine rumbles. However, these headphones are great sports headphones, like they were intended to be used. They are stable, breathable, and easy to carry around. Unfortunately, they are not very comfortable and won’t be great to use at the office.",https://www.rtings.com/headphones/reviews/v-moda/bassfit-wireless,2019-03-06,2019-03-06 00:00:00,6.9,10,v-moda/bassfit-wireless,V-MODA BassFit Wireless
https://i.rtings.com/images/reviews/headphones/turtle-beach/stealth-600/stealth-600-design-medium.jpg,Turtle Beach Stealth 600 Wireless Review,Sam Vafaei,Well-balanced default sound profile.,Mediocre build quality.,Headphones,The Turtle Beach Stealth 600 are decent wireless gaming headphones. They have a surprisingly well-balanced sound and a low latency wireless connection. Their bat...,"The Turtle Beach Stealth 600 are best used for gaming and neutral listening. They have a surprisingly well-balanced sound that delivers a good amount of bass without being overpowering. They also have a low-latency wireless connection for gaming or watching movies, but don't support Bluetooth. This, combined with their bulky design, makes them less than ideal for casual uses like commuting or sports.",https://www.rtings.com/headphones/reviews/turtle-beach/stealth-600-wireless,2020-04-15,2020-04-15 00:00:00,6.1,10,turtle-beach/stealth-600-wireless,Turtle Beach Stealth 600 Wireless
https://i.rtings.com/images/reviews/headphones/turtle-beach/stealth-700/stealth-700-design-medium.jpg,Turtle Beach Stealth 700 Wireless Review,Sam Vafaei,Low latency.,Poor noise isolation.,Headphones,The Turtle Beach Stealth 700 PS4 / Xbox One are good gaming headphones with a versatile amount of connection options for mobile use. They're Bluetooth compatible...,"The Turtle Beach Stealth 700 are a better and more versatile gaming headset than the Stealth 600. They have a decent sound quality, a lot of connection options including Bluetooth and a wired design. They also have a better app and have noise canceling. Unfortunately, their isolation and bulky design is not ideal for outdoor use or sports. They also have a worse sound quality than the Stealth 600 which makes them a bit worse for critical listening.",https://www.rtings.com/headphones/reviews/turtle-beach/stealth-700-wireless,2018-03-08,2018-03-08 00:00:00,6.8,10,turtle-beach/stealth-700-wireless,Turtle Beach Stealth 700 Wireless
https://i.rtings.com/images/reviews/headphones/turtle-beach/recon-50x/recon-50x-design-medium.jpg,Turtle Beach Recon 50X/Recon 50P Review,Sam Vafaei,Decent sound quality.,Weak build quality.,Headphones,The Turtle Beach Recon 50X is a decent budget gaming headset. These headphones have a moderately well-balanced sound that's a bit cluttered but delivers a good b...,"The Turtle Beach Recon 50x are below-average mixed usage headphones. They're a decent option for gaming thanks to their great boom mic and low latency wired connection. Unfortunately, they have a plasticky build quality that does not feel very durable, and an awkward fit that causes a lot of seal issues and makes them a poor choice to use in loud, noisy environments. They also won't be as convenient as some of the other gaming headsets we've reviewed since they are limited by the relatively short range of their audio cable. ",https://www.rtings.com/headphones/reviews/turtle-beach/recon-50x-recon-50p,2018-06-15,2018-06-15 00:00:00,5.6,10,turtle-beach/recon-50x-recon-50p,Turtle Beach Recon 50X/Recon 50P
https://i.rtings.com/images/reviews/headphones/turtle-beach/elite-pro-2-superamp/elite-pro-2-superamp-design-medium.jpg,Turtle Beach Elite Pro 2 SuperAmp Review,Sam Vafaei,Above-average audio reproduction.,Bass delivery varies significantly across users.,Headphones,The Turtle Beach Elite Pro 2 is a good gaming headset that comes with an amp and that looks more premium than previously reviewed Turtle Beach headsets. It is co...,"Decent for mixed usage. Even if they are designed to be gaming headphones, the Elite Pro 2 can be versatile enough to be used as casual wired headphones. They have a comfortable fit and you can detach the microphone. Without blocking ambient noise and being quite leaky, they won’t be great for commuting. On the upside, since they are wired, they have practically no latency which is great for watching videos too.",https://www.rtings.com/headphones/reviews/turtle-beach/elite-pro-2-superamp,2018-10-26,2018-10-26 00:00:00,6.7,10,turtle-beach/elite-pro-2-superamp,Turtle Beach Elite Pro 2 SuperAmp
https://i.rtings.com/images/reviews/headphones/turtle-beach/elite-atlas/elite-atlas-design-medium.jpg,Turtle Beach Elite Atlas Review,Marc Henney,Good audio reproduction.,Sub-par isolation and leakage performance. ,Headphones,"The Turtle Beach Elite Atlas is a good wired gaming headset and is very similar to the Elite Pro 2 SuperAmp, with slight differences in performance. They still h...","Average for mixed usage. This gaming headset has a good audio reproduction that critical listeners will appreciate, but their bulky design and poor breathability performance won’t be great for sports. They also don’t isolate much ambient noise, meaning you won’t block out noise in your commute or at the office. Their short cable is not ideal for watching TV from your couch. Overall, they are a good wired gaming headset but doesn’t have the versatility of wireless technology. ",https://www.rtings.com/headphones/reviews/turtle-beach/elite-atlas,2019-01-25,2019-01-25 00:00:00,6.3,10,turtle-beach/elite-atlas,Turtle Beach Elite Atlas
https://i.rtings.com/images/reviews/headphones/turtle-beach/stealth-300/stealth-300-design-medium.jpg,Turtle Beach Stealth 300 Review,Marc Henney,Above-average audio reproduction.,Poor noise and leakage isolation.,Headphones,"The Turtle Beach Stealth 300 are a decent wired gaming headset. They have the same design and build quality as the Stealth 600, so they're comfortable and easy-t...","Average-at-best for mixed usage. The Turtle Beach Stealth 300 have a wired design which makes them slightly more versatile than the Stealth 600 since you can use them with your phone and both console controllers (Xbox and PS4). However, they won't be as convenient for gaming because you will be limited by the range of the cable. They also do not have a lot of customization options since they do not support the Turtle Beach Audio Hub. Other than that, they have the same design as the Stealth 600, so they won't be the best headphones for outdoor use and they look a little cheap and plasticky but should be comfortable enough for most.",https://www.rtings.com/headphones/reviews/turtle-beach/stealth-300,2018-08-17,2018-08-17 00:00:00,6.1,10,turtle-beach/stealth-300,Turtle Beach Stealth 300
https://i.rtings.com/images/reviews/headphones/turtle-beach/recon-70/recon-70-design-medium.jpg,Turtle Beach Recon 70 Review,Jean-Simon Bonneterre,Decent audio reproduction.,Cheap and plasticky build.,Headphones,"The Turtle Beach Recon 70 are acceptable gaming headphones that offer good overall performance, but their build quality is quite plasticky, which makes them feel...","Mediocre for mixed usage. These headphones were designed for gaming. They have a decent boom microphone for online multiplayer games and they are quite comfortable for long playing sessions. They also have a pretty good sound profile, which is decent for critical listening as well. However, they feel very plasticky and they don’t passively isolate well, meaning they’ll be a sub-par option for commuting and at the office. Also, their bulky design isn’t breathable or stable, which means you shouldn’t use them for sports. Additionally, unless you’re watching TV content on your phone, they won’t be suitable for a home theater setup due to their short cable.",https://www.rtings.com/headphones/reviews/turtle-beach/recon-70,2019-06-26,2019-06-26 00:00:00,5.4,10,turtle-beach/recon-70,Turtle Beach Recon 70
https://i.rtings.com/images/reviews/headphones/articles/best/best-turtle-beach-medium.jpg,The 3 Best Turtle Beach Headsets of 2020: Reviews,Nick Cheply,,,Headphones,We've tested 10 Turtle Beach headsets. The best Turtle Beach headset for gaming is the Turtle Beach Elite Pro 2 SuperAmp.,,https://www.rtings.com/headphones/reviews/turtle-beach,2020-04-09,2020-04-09 00:00:00,6.7,10,turtle-beach,The 3 Best Turtle Beach Headsets of 2020:s
https://i.rtings.com/images/reviews/headphones/turtle-beach/recon-200/recon-200-design-medium.jpg,Turtle Beach Recon 200 Review,Marc Henney,Above-average audio reproduction.,Plasticky build.,Headphones,The Turtle Beach Recon 200 is an over-ear gaming headset that looks cheaply-made but is surprisingly comfortable for long gaming sessions. This headset also has ...,"Mediocre for mixed usage. This headset was designed for gaming and won’t be ideal for other use cases. It has an above-average sound quality for critical listening, but the bulky over-ear design won’t be ideal for commuting or for sports. On top of that, your ears may feel warm after a while, and the isolation performance is sub-par, which isn’t good for the office or when commuting. The wired design will limit your range, and you won’t be able to watch TV from the comfort of your couch. On the upside, this headset has a decent microphone and is compatible with every console and PC. ",https://www.rtings.com/headphones/reviews/turtle-beach/recon-200,2019-02-08,2019-02-08 00:00:00,5.9,10,turtle-beach/recon-200,Turtle Beach Recon 200
https://i.rtings.com/images/reviews/headphones/tascam/th-02/th-02-design-medium.jpg,Tascam TH-02 Review,Sam Vafaei,Decent audio reproduction.,Sub-par noise isolation.,Headphones,"The Tascam TH-02 are decent-sounding critical listening headphones, but sub-par for everything else. Their build quality feels a little cheap and plasticky and t...","Sub-par for most uses cases except critical listening. These headphones have a mediocre build quality and a fairly straightforward critical listening design that lacks the features to be a versatile mixed usage headphone. They are also not the most comfortable, with relatively small ear cups that do not sit well on the ear and causes isolation and comfort issues. They won't be the best headphones to wear for long listening sessions or for commuting in loud environments. On the upside, they do not leak much so they won't be too distracting at the office. Also, their no latency wired connection could be good for watching videos, but the cable may not be long enough for all home theater sets ups.",https://www.rtings.com/headphones/reviews/tascam/th-02,2018-07-04,2018-07-04 00:00:00,5.3,10,tascam/th-02,Tascam TH-02
https://i.rtings.com/images/reviews/headphones/treblab/x5/x5-design-medium.jpg,TREBLAB X5 Truly Wireless Review,Marc Henney,Breathable and stable for sports.,Bulky in-ear design.,Headphones,"The Treblab X5 are decent mixed usage truly wireless closed-back in-ears that are great for sports. They have an unusual design that resembles Apple AirPods, but...","Decent for mixed usage. They don’t have the best audio reproduction due to their recessed mid-range and thumpy bass, but most casual listeners will be satisfied. On the upside, they are fairly compact and stable in the ears, which will be great for sports. They don’t isolate low-frequency noises like engine rumbles very well, so they won’t be ideal for commuting, but they block ambient chatter and will be suitable for the office. However, they have a relatively short battery life, so you’ll have to take breaks every 3 hours to recharge them. Like most Bluetooth headphones, their latency may be too high to watch TV or for gaming.",https://www.rtings.com/headphones/reviews/treblab/x5-truly-wireless,2019-02-20,2019-02-20 00:00:00,7.2,10,treblab/x5-truly-wireless,TREBLAB X5 Truly Wireless
