Title,PIC,Date,Summary,Date Format,Product_Name,Source_internal_id,OCN,URL,Author,Rating,Scale
Asus ROG String 750W Power Supply Review,https://cdn.mos.cms.futurecdn.net/AUhWmvSM75av5ZpuXjKJvT-1200-80.jpg,2020-03-15,Lead Text,2020-03-15 00:00:00,Asus ROG String 750W Power Supply Review,kjQf5HBLxQwNbsT5tMW7Un,Power Supplies,https://www.tomshardware.com/uk/reviews/asus-rog-strix-750w-power-supply-review,Aris Mpitziopoulos,4,5
Thermaltake ToughRAM DDR4-4400 Review: RGB Light Or Silver & White?,https://cdn.mos.cms.futurecdn.net/S2QhwLUTW5oXREGAnjuHqk-1200-80.jpg,2020-02-25,Two different DDR4-4400 kits top Thermaltake’s ToughRAM lineup: Are either of these right for you?,2020-02-25 00:00:00,Thermaltake ToughRAM DDR4-4400,YwQMF7KvunkEqTWFJRVhri,Memory,https://www.tomshardware.com/uk/reviews/thermaltake-toughram-ddr4-4400,Thomas Soderstrom,3,5
HTC Vive Cosmos Elite VR Headset Review: External Tracking Faceplate Delivers,https://cdn.mos.cms.futurecdn.net/gfdbaKH26DtiDf2h3rDRnM-1200-80.jpg,2020-03-18,External tracking is everything the Cosmos needed.,2020-03-18 00:00:00,HTC Vive Cosmos Elite VR Headset,oHQvhngYyoikmaMYsGShEj,Virtual Reality,https://www.tomshardware.com/uk/reviews/htc-vive-cosmos-elite-external-tracking-faceplate,Kevin Carbotte,4,5
"NZXT H1 Review: SFF Excellence, PSU and AIO Included",https://cdn.mos.cms.futurecdn.net/YHPGfkoXUaNEokd5bE4Dee-1200-80.jpg,2020-02-25,NZXT’s H1 is ready for powerful hardware inside its itty-bitty build space.,2020-02-25 00:00:00,NZXT H1,FkQKgpF8ULRFA3MwznZEAN,Cases,https://www.tomshardware.com/uk/reviews/nzxt-h1-ultra-compact-desktop-pc-case,Garrett Carver,4.5,5
Arctic Z1 Pro and Z1-3D Monitor Arms Review: Added Flexibility ,https://cdn.mos.cms.futurecdn.net/zwfMvPJwiVDaUJLfvdac5E-1200-80.jpg,2020-03-21,The Z1 Pro and Z1-3D will bring more options to the table than your monitor's factory stand. ,2020-03-21 00:00:00,Arctic Z1 Pro and Z1-3D Monitor Arms,J9f8ZHkaiSwoXbptneL94X,Monitors,https://www.tomshardware.com/uk/reviews/arctic-z1-pro-arctic-z1-3d-monitor-arms,Christian Eberle,4.5,5
Glorious Model D Gaming Mouse Review: Ultralight FPS Pointer,https://cdn.mos.cms.futurecdn.net/Bogih2dzGmTUEDvshzwUXK-1200-80.jpg,2020-03-22,Does lighter = better in a gaming mouse?,2020-03-22 00:00:00,Glorious Model D Gaming Mouse,VVXqD6RbfEPaGcmXCVJzbF,Mice,https://www.tomshardware.com/uk/reviews/glorious-model-d-gaming-mouse-review-ultralight-fps-pointer,Phil Iwaniuk,4,5
HTC Vive Cosmos VR Headset Review: Solid Upgrade,https://cdn.mos.cms.futurecdn.net/x4dS6KbCTZm7jkJJcRgjgc-1200-80.jpg,2020-03-18,The HTC Vive Cosmos is a great VR headset held back by bad controller ergonomics. It's comfort and lack of base stations makes it a good upgrade from the Vive. ,2020-03-18 00:00:00,HTC Vive Cosmos VR Headset,kBZ9SoyBoLU7tQ7nUbo869,Virtual Reality,"https://www.tomshardware.com/uk/reviews/htc-vive-cosmos-vr-headset,6367.html",Kevin Carbotte,4,5
"Cooler Master MH670 Gaming Headset Review: Wireless or Wired, Always Tasteful",https://cdn.mos.cms.futurecdn.net/K7DgvqhN2yRMxpWDWdkL7T-1200-80.jpg,2020-02-28,The MH670 is a gaming headset you can invite anywhere.,2020-02-28 00:00:00,Cooler Master MH670 Gaming Headset,AmVUzqgQ777hD6oXng2c53,Gaming Headsets,https://www.tomshardware.com/uk/reviews/cooler-master-mh670-wireless-gaming-headset,Nate Rand,4,5
Valve Index VR Headset and Controllers Review: A New Champion,https://cdn.mos.cms.futurecdn.net/kguHgvaZNpGxvLLofiaKnc-1200-80.jpg,2020-02-25,"
",2020-02-25 00:00:00,Valve Index VR Headset and Controllers,ScSzS9aWvjHmfyk5LvtsS7,Virtual Reality,"https://www.tomshardware.com/uk/reviews/valve-index-vr-headset-controllers,6205.html",Kevin Carbotte,4.5,5
"Adata XPG Summoner Gaming Keyboard Review: Soft, but no Software",https://cdn.mos.cms.futurecdn.net/XzTqUZwegcNwcXwRpxfXRb-1200-80.png,2020-02-28,Can a wrist rest and volume wheel help the Summoner stand out?,2020-02-28 00:00:00,Adata XPG Summoner Gaming Keyboard,Vg6AhfeesfgzRBH84Hj67o,Keyboards,https://www.tomshardware.com/uk/reviews/adata-xpg-summoner-gaming-keyboard,Matt Safford,3,5
OLOy Owl 2x 8GB DDR4-3200 Review: Performance Meets Value?,https://cdn.mos.cms.futurecdn.net/ih5J3RzySPvYLpLFGkQzzN-1200-80.jpg,2020-03-01,Are price and performance good enough to make this value kit stand out?,2020-03-01 00:00:00,OLOy Owl 2x 8GB DDR4-3200,9ZrU2YwsjDwymsvZh8vh9A,Memory,https://www.tomshardware.com/uk/reviews/oloy-owl-2x-8gb-ddr4-3200,Thomas Soderstrom,3,5
"Gigabyte RX 5600 XT Gaming OC 6G Review: Priced Right, Performs Well",https://cdn.mos.cms.futurecdn.net/hr6WhnSbfXbWWyi48RjxYb-1200-80.jpg,2020-02-27,"This RX 5600 XT is inexpensive, quiet, and performs well: Can we ask for more?",2020-02-27 00:00:00,Gigabyte RX 5600 XT Gaming OC 6G,egoE8F4ZJwt3Hh8hd3gXz,Graphics,https://www.tomshardware.com/uk/reviews/gigabyte-rx-5600-xt-gaming-oc-6g,Joe Shields,4,5
Lian Li Strimer Plus Review: RGB Power Supply Cables Go 2.0,https://cdn.mos.cms.futurecdn.net/bmjbBc4ysBrtTbXZcjKaYe-1200-80.gif,2020-03-03,“I like the pretty lights.”,2020-03-03 00:00:00,Lian Li Strimer Plus,hMgkQbCkq7nkas3NnpnzLE,Power Supplies,https://www.tomshardware.com/uk/reviews/lian_li-strimer-plus,Matt Safford,4,5
be quiet! Shadow Rock 3 Review: Quiet Cooling on a Budget,https://cdn.mos.cms.futurecdn.net/SoVC6mFjRwxgriUedZpENf-1200-80.jpg,2020-03-04,Out of the Shadows and atop the apex: a new mid-size cooling performer arrives from be quiet!,2020-03-04 00:00:00,be quiet! Shadow Rock 3,mvNo3C742kbQ3sY9VPaUfA,Cooling,https://www.tomshardware.com/uk/reviews/be-quiet-shadow-rock-3,Garrett Carver,4.5,5
EVGA GeForce RTX 2060 KO Ultra Gaming Review: Winner by Decision,https://cdn.mos.cms.futurecdn.net/xF9ZtrCExtoGbT5XJmVhCE-1200-80.jpg,2020-03-03,"This EVGA card is the least-expensive RTX 2060, but is it a knockout?",2020-03-03 00:00:00,EVGA GeForce RTX 2060 KO Ultra Gaming,hfKR37xy6wMTHM5vFgxcmY,Graphics,https://www.tomshardware.com/uk/reviews/evga-geforce-rtx-2060-ko-ultra-gaming,Joe Shields,4.5,5
Corsair Vengeance RGB Pro 2x 32GB DDR4-3200 Review: 64GB In the Middle,https://cdn.mos.cms.futurecdn.net/JJ6Vy96TLGrJ7uy4Qz6W9B-1200-80.jpg,2020-02-29,Can Corsair’s latest Vengeance kit compete on price and performance?,2020-02-29 00:00:00,Corsair Vengeance RGB Pro 2x 32GB DDR4-3200,3FxJqSMBBTGxtEVzeiVQmV,Memory,https://www.tomshardware.com/uk/reviews/corsair-vengeance-rgb-pro-2x-32gb-ddr4-3200-review-64gb-in-the-middle,Thomas Soderstrom,3,5
Team Group MP33 M.2 NVMe SSD Review: NVMe performance at SATA prices,https://cdn.mos.cms.futurecdn.net/oH62UkAnDo8WeDZR8upEQC-1200-80.jpg,2020-03-02,Team Group’s MP33 offers up speedy performance and efficiency ,2020-03-02 00:00:00,Team Group MP33 M.2 NVMe SSD,RHdvNqJp7itTtm7RJ6o5n4,Storage,https://www.tomshardware.com/uk/reviews/team-group-mp33-m2-nvme-ssd,Sean Webster,4,5
"Asus ROG Strix RX 5500 XT O8G Gaming Review: Premium Card, but Worth the Price?",https://cdn.mos.cms.futurecdn.net/sYj6Btj5Fhvy5RTA7RNMyk-1200-80.jpg,2020-03-19,Premium features for a premium price,2020-03-19 00:00:00,Asus ROG Strix RX 5500 XT O8G Gaming,okJTdSuCd4G7NPjfwSDSfX,Graphics,https://www.tomshardware.com/uk/reviews/asus-rog-strix-rx-5500-xt-o8g-gaming,Joe Shields,4,5
HyperX Alloy Origins Mechanical Gaming Keyboard Review: Slick Simplicity,https://cdn.mos.cms.futurecdn.net/pweLJPy4s9v4kiAf7ercUX-1200-80.jpg,2020-03-02,"HyperX’s Alloy Origins mechanical gaming keyboard sports in-house switches, but what makes it great is a fine-tuning of the basics and excellent aesthetics.",2020-03-02 00:00:00,HyperX Alloy Origins Mechanical Gaming Keyboard,NS2ktwq25cAj5j8HP3CBhR,Gaming,"https://www.tomshardware.com/uk/reviews/hyperx-alloy-origins-mechanical-gaming-keyboard,6373.html",Matt Safford,4.5,5
Aorus RX 5700 XT 8G Review: As Fast as XT can Be?,https://cdn.mos.cms.futurecdn.net/WtKk4p9qgSWfPFjf4tRz9b-1200-80.jpg,2020-02-06,The best Navi card for 1440p?,2020-02-06 00:00:00,Aorus RX 5700 XT 8G,vkH6QqJBtQ6JbbpcWnKPMe,Graphics,https://www.tomshardware.com/uk/reviews/aorus_rx_5700_xt-8g,Joe Shields,4,5
AMD 64-Core Threadripper 3990X Review: Battle of the Flagships,https://cdn.mos.cms.futurecdn.net/t8PAB9PuSSF5w53ZWVrPhj-1200-80.jpg,2020-02-07,The core wars rage on.,2020-02-07 00:00:00,AMD 64-Core Threadripper 3990X,bjg2cVUZjGy4Rx9JBmqhHH,CPUs,https://www.tomshardware.com/uk/reviews/amd-threadripper-3990x-review,Paul Alcorn,4.5,5
G.Skill TridentZ Neo 2x32GB DDR4-3200 C16 Review: Dense Modules Get Faster,https://cdn.mos.cms.futurecdn.net/KiqU8tEAPEQJBzzwaC8CU4-1200-80.jpg,2020-02-10,Will these higher-capacity DIMMs finally catch up to their mainstream (2x16GB) counterparts?,2020-02-10 00:00:00,G.Skill TridentZ Neo 2x32GB DDR4-3200 C16,XoLXz6CJ4rXZdfr9ikpipA,Memory,https://www.tomshardware.com/uk/reviews/gskill-tridentz-neo-2x32gb-ddr4-3200-c16-review-dense-modules-get-faster,Thomas Soderstrom,4,5
HyperX Pulsefire Raid Gaming Mouse Review: Middling Child,https://cdn.mos.cms.futurecdn.net/2DKjq43VUwtZMS5tvKNTh9-1200-80.jpg,2020-02-08,HyperX’s Pulsefire Raid is an exercise in compromise.,2020-02-08 00:00:00,HyperX Pulsefire Raid Gaming Mouse,XvqB4o4K98LYEHMSWctFHR,Mice,https://www.tomshardware.com/uk/reviews/hyperx-pulsefire-raid-gaming-mouse,Nathaniel Mott,3,5
HyperX Fury 32GB DDR4-3733 Dual-Channel Kit Review: A Faster 2x 16GB Option,https://cdn.mos.cms.futurecdn.net/fi2pw4bVsQ2b9tPzXT7STT-1200-80.jpg,2020-02-13,Is HyperX’s DDR4-3733 Fury our new dual-stick champion?,2020-02-13 00:00:00,HyperX Fury 32GB DDR4-3733 Dual-Channel Kit,YpE8KWLpkuwhoUX7m9YnKS,Memory,https://www.tomshardware.com/uk/reviews/hyperx-fury-2x16GB-DDR4-3733,Thomas Soderstrom,3,5
Lian Li Lancool II Review: Impressive Value and Flexibility,https://cdn.mos.cms.futurecdn.net/rrsdSyiy8NmCiwS3kzNowc-1200-80.jpg,2020-02-09,A fantastic budget chassis for tricked-out AIO builds.,2020-02-09 00:00:00,Lian Li Lancool II,BZ3djcvt2ZqpWpBur2RWAS,Cases,https://www.tomshardware.com/uk/reviews/lian-li-lancool-ii-mid-tower-case,Zak Storey,4.5,5
Corsair Scimitar RGB Elite Gaming Mouse Review: a MOBA/MMO Weapon,https://cdn.mos.cms.futurecdn.net/NxaAgnGpYKtDHYGUGaoumJ-1200-80.jpg,2020-02-15,Corsair's latest Scimitar is a well-built mouse with a targeted use case.,2020-02-15 00:00:00,Corsair Scimitar RGB Elite Gaming Mouse,VVHN9d5uTbj6KDZirBy3x,Mice,https://www.tomshardware.com/uk/reviews/corsair-scimitar-rgb-elite,Phil Iwaniuk,3.5,5
"Asus ROG Zephyrus S GX502 Review: Thin Frame, Full RTX 2070",https://cdn.mos.cms.futurecdn.net/PWyt8vA39THbcX7zkJ9UQi-1200-80.jpg,2020-02-11,"The Asus ROG Zephyrus S GX502 has a full-sized RTX 2070 in it that offers great performance, but it can get loud under load.",2020-02-11 00:00:00,Asus ROG Zephyrus S GX502,5Yt4n5bmVFME4NBSJRGyJh,Laptops,https://www.tomshardware.com/uk/reviews/asus-rog-zephyrus-s-gx502,Imad Khan,4,5
XPG Core Reactor 750W Power Supply Review,https://cdn.mos.cms.futurecdn.net/faHwgaabZmEeWHdb967DD4-1200-80.jpg,2020-02-12,"The XPG Core Reactor 750 is a high-performance PSU, compatible with the newest and toughest requirements of the ATX spec. ",2020-02-12 00:00:00,XPG Core Reactor 750W Power Supply Review,8Hp8VwCJ3P6BFoDrmngNCV,Power Supplies,https://www.tomshardware.com/uk/reviews/xpg-core-reactor-750w-power-supply-review,Aris Mpitziopoulos,4,5
EVGA Nu Audio Pro Review: Who Needs a Sound Card in 2020?,https://cdn.mos.cms.futurecdn.net/LNq3Q927Td7bzLjXyLZDjD-1200-80.jpg,2020-02-17,Best for premium set-ups.,2020-02-17 00:00:00,EVGA Nu Audio Pro,f5HRmzfqJw4hK2cvP7F6UD,Components,https://www.tomshardware.com/uk/reviews/evga-nu-audio-pro-sound-card,Niels Broekhuijsen,4,5
Lenovo Yoga C940 (14-inch) Review: Entertainment Powerhouse,https://cdn.mos.cms.futurecdn.net/TZE2pVdTCjEAf6XxoVCsEg-1200-80.jpg,2020-02-16,The sound goes ‘round and ‘round.,2020-02-16 00:00:00,Lenovo Yoga C940 (14-inch),km6ktEdVpWpMmaHgRAzDhR,Laptops,https://www.tomshardware.com/uk/reviews/lenovo-yoga-c940,Fionna Agomuoh,4,5
MSI Prestige 14 Review: Think Pink,https://cdn.mos.cms.futurecdn.net/sdCiYfhyXUSeeRUA2FrTbN-1200-80.jpg,2020-02-05,"The MSI Prestige 14 is a slim laptop with discrete graphics and above-average battery life. Oh, and it’s pink.",2020-02-05 00:00:00,MSI Prestige 14,Wek4pmHuErFTp7qLfGSFmb,Laptops,https://www.tomshardware.com/uk/reviews/msi-prestige-14,Andrew E. Freedman,3.5,5
"MSI Optix MAG161V Portable Monitor Review: Versatile, but Dim",https://cdn.mos.cms.futurecdn.net/EaNfkhYhzUxwdVq8RZTJkY-1200-80.jpg,2020-02-14,"A handy display, if you can stand its stand.",2020-02-14 00:00:00,MSI Optix MAG161V Portable Monitor,oUVh5mGmSUBXXJ5XpC7Rxc,Monitors,https://www.tomshardware.com/uk/reviews/msi-optix-mag161v-portable-monitor,Scharon Harding,3,5
Patriot Viper VPR100 M.2 NVMe SSD Review: Enduring RGB,https://cdn.mos.cms.futurecdn.net/qEJJHmwXA8ZzYk3tR4SMH9-1200-80.jpg,2020-02-18,"Patriot’s Viper VPR100 boasts impressive style, speed, and endurance.",2020-02-18 00:00:00,Patriot Viper VPR100 M.2 NVMe SSD,9WRESzyNELL4RKvLkCMg7g,Storage,https://www.tomshardware.com/uk/reviews/patriot-viper-vpr100-m2-nvme-ssd,Sean Webster,4.5,5
