Title,PIC,Summary,Author,Date,Pros,Cons
HP Spectre 15 x360 2019 review: Carving a niche in a crowded space,https://cdn.arstechnica.net/wp-content/uploads/2019/04/HP-x360-Spectre-15-angle-760x380.jpeg,"The ""gem-cut"" design isn't for everybody, but it sure is striking.",Samuel Axon,2019-05-10,,
Dell Inspiron 13 7000 review: Premium and practical all in one,https://cdn.arstechnica.net/wp-content/uploads/2019/07/inspiron137000BE_4-760x380.jpg,Dell gives this Inspiron 2-in-1 a glow-up without sacrificing power or features.,Valentina Palladino,2019-07-06,,
15-inch MacBook Pro mini-review: How much does Apple’s fastest laptop offer?,https://cdn.arstechnica.net/wp-content/uploads/2019/07/2019-MacBook-Pro-20-760x380.jpeg,We tested it decked-out with an 8-core Core i9 CPU and Vega 20 graphics.,Samuel Axon,2019-07-28,,
Lenovo Thinkbook 13s review: ThinkPad influences at a great price,https://cdn.arstechnica.net/wp-content/uploads/2019/08/thinkbook13_1-760x380.jpg,Almost anyone can appreciate this solid Windows laptop that starts at under $750.,Valentina Palladino,2019-09-07,"Modern, professional design",No IR camera
ThinkPad X1 Carbon 7th-gen mini-review: Minor updates made to a stellar machine,https://cdn.arstechnica.net/wp-content/uploads/2019/09/x1carbon7thgen_1-760x380.jpg,"Lenovo promised 18 hours of battery life, and it delivered with this $1,462 notebook.",Valentina Palladino,2019-09-13,,
iOS 13: The Ars Technica review,https://cdn.arstechnica.net/wp-content/uploads/2019/09/IMG_0038-760x380.jpg,There's a lot more to this update than Dark Mode.,Samuel Axon,2019-09-20,iPhone XS,12.9-inch iPad Pro
"Apple Watch Series 5 review: A better, more independent timepiece",https://cdn.arstechnica.net/wp-content/uploads/2019/09/applewatchseries5_7-760x380.jpg,"An always-on display finally comes to the Apple Watch, but watchOS 6 steals the show.",Valentina Palladino,2019-09-25,"
            ",
iPhone 11 Pro and 11 Pro Max review: High quality for high prices,https://cdn.arstechnica.net/wp-content/uploads/2019/09/iPhone-11-Pro-and-11-Pro-Max-cameras-1-760x380.jpg,Apple’s new flagship shows the X-series iPhones have matured.,Samuel Axon,2019-09-26,,
iPhone XR review: Keeping compromises to a minimum,https://cdn.arstechnica.net/wp-content/uploads/2018/11/iPhone-XR-front-view-760x380.jpg,Apple’s slightly cheaper handset is the best new iPhone for most people.,Samuel Axon,2018-11-05,,
"HP’s ZBook x2: It’s powerful, it’s specialized, and it’s very expensive",https://cdn.arstechnica.net/wp-content/uploads/2018/05/zbook-x2-front-760x380.jpg,"Review: HP has packed a lot of power into its tablet, but it comes at a big cost.",Peter Bright,2018-05-27,,
"The Surface Go reviews are in, and... they’re a bit all over the place",https://cdn.arstechnica.net/wp-content/uploads/2018/07/Hero-Product-Render-760x380.jpg,The press agrees the processor is slow but is much more divided on everything else.,Peter Bright,2018-08-02,,
Nokia 6.1 Review—The best answer to “What Android phone should I buy?”,https://cdn.arstechnica.net/wp-content/uploads/2018/06/1-760x380.jpg,HMD does nearly everything right with this $269 wonder phone. ,Ron Amadeo,2018-07-13,,
Lenovo Smart Display review: The Google Assistant now has a face,https://cdn.arstechnica.net/wp-content/uploads/2018/07/lenovosmartdisplay14-760x380.jpg,The first smart display with the Google Assistant is here—is it worth $249?,Valentina Palladino,2018-07-26,,
"Garmin Fenix 5S Plus review: So capable, so enviable, so expensive",https://cdn.arstechnica.net/wp-content/uploads/2018/07/fenix5splus16-760x380.jpg,Garmin demonstrates just how much a fitness wearable can do—for the right price.,Valentina Palladino,2018-07-29,,
Acer Chromebook Tab 10 review: Chrome OS revives Google’s tablet future,https://cdn.arstechnica.net/wp-content/uploads/2018/06/chromebooktab10_15-760x380.jpg,"Acer made a capable tablet, but Google still has to work out kinks in Chrome OS.",Valentina Palladino,2018-06-23,,
"2018 15-inch MacBook Pro review: Better, faster, stronger?",https://cdn.arstechnica.net/wp-content/uploads/2018/07/2018-MacBook-Pro-Logic-760x380.jpg,"It offers a huge year-over-year speed boost, but there's still one big unknown.",Samuel Axon,2018-07-24,,
WireGuard VPN review: A new type of VPN offers serious advantages,https://cdn.arstechnica.net/wp-content/uploads/2018/08/wireguard-screenshot-760x380.png,"Fewer lines of code, simpler setup, and better algorithms make a strong case.",Jim Salter,2018-08-26,,
"Apple Watch Series 4 review: A bigger, better watchOS experience",https://cdn.arstechnica.net/wp-content/uploads/2018/09/applewatchseries4_21-760x380.jpg,"A $399 starting price is a lot to ask, but Apple added a lot to this Watch.",Valentina Palladino,2018-09-26,,
Galaxy Tab S4 review: Even Samsung’s Dex desktop can’t save Android tablets,https://cdn.arstechnica.net/wp-content/uploads/2018/08/tabs4_embargo1-760x380.jpg,Samsung's desktop mode tries to make the $649 Tab S4 better than regular tablets.,Valentina Palladino,2018-08-08,,
Review: Google’s Wear OS 2.0 can’t fix its obsolete smartwatch hardware,https://cdn.arstechnica.net/wp-content/uploads/2018/09/Android-Wear-OS-760x380.jpg,"Wear OS gets better with version 2.0, but what are you supposed to run it on?",Ron Amadeo,2018-09-28,,
"A review of Monitor-IO, a little gadget that wants to talk about your Internet",https://cdn.arstechnica.net/wp-content/uploads/2018/08/monitor-io-on-shelf-760x380.jpg,Is this an IRL butter-passing bot whose entire existence is doing an insignificant task?,Jim Salter,2018-08-19,,
ROLI Songmaker Kit mini-review: Rediscovering my musical roots with fancy new tech,https://cdn.arstechnica.net/wp-content/uploads/2018/07/ROLI-Songmaker-Kit-MacBook-Pro-760x380.jpg,Can you find the expressiveness of a guitar in a MIDI controller?,Samuel Axon,2018-08-19,,
Review: HP’s Chromebook x2 could convince me to go all-in on Chrome OS,https://cdn.arstechnica.net/wp-content/uploads/2018/08/hpchromebookx2_7-760x380.jpg,Fans of the Pixelbook will want to check out this $599 detachable alternative.,Valentina Palladino,2018-09-18,Elegant design,On the heavy side for a tablet
macOS 10.14 Mojave: The Ars Technica review,https://cdn.arstechnica.net/wp-content/uploads/2018/09/Mojave-Day-760x380.jpg,Dark Mode and iOS apps make this desert-themed release feel surprisingly verdant.,Andrew Cunningham,2018-09-24,,
Fitbit Versa review: Slowly but surely pushing Fitbit past the “fit” bit,https://cdn.arstechnica.net/wp-content/uploads/2018/03/fitbitversa12-760x380.jpg,"If you think Fitbit is just for fitness, this $200 smartwatch might change your mind.",Valentina Palladino,2018-03-26,,
ThinkPad X1 Carbon 2018 review: The only laptop in a professional’s paradise,https://cdn.arstechnica.net/wp-content/uploads/2018/03/x1carbon2018_18-760x380.jpg,Lenovo's lightweight ThinkPad ticks all the boxes of a great work notebook.,Valentina Palladino,2018-03-29,,
The 25th-anniversary ThinkPad: Every laptop should add some retro appeal,https://cdn.arstechnica.net/wp-content/uploads/2018/03/IMG_20180322_124819_edited-760x380.jpg,Review: A seven-row keyboard? Matte screen? TrackPoint? The all-business black body? Swoon,Peter Bright,2018-04-01,,
"Samsung Notebook 9 Pen review: Stylus convenience, devoid of style",https://cdn.arstechnica.net/wp-content/uploads/2018/03/notebook9pen1-760x380.jpg,"This two-in-one doesn't look like a $1,399 device, and yet it's priced as such.",Valentina Palladino,2018-04-04,,
Far Cry 5 review: Five steps back,https://cdn.arstechnica.net/wp-content/uploads/2018/03/FC5-3-760x380.jpg,A vapid plot and some clever sidequests don't deliver on the series' new structure.,Steven Strom,2018-03-27,,
Huawei Matebook X Pro review: No longer just a MacBook clone,https://cdn.arstechnica.net/wp-content/uploads/2018/04/matebookxpro5-760x380.jpg,Huawei’s strategic choices make this new laptop much better than the original.,Valentina Palladino,2018-04-10,,
Owl Car Cam review: A data-connected dash cam for car lovers,https://cdn.arstechnica.net/wp-content/uploads/2018/04/owlcarcam10-760x380.jpg,Would you pay a monthly fee to know about any and all disturbances around your car?,Valentina Palladino,2018-04-19,,
2018 iPad review: Content creation with compromises,https://cdn.arstechnica.net/wp-content/uploads/2018/04/IMG_4114-760x380.jpg,"This consumption device wants to be a creative one, too, but is a Pencil enough?",Samuel Axon,2018-04-06,,
Google Daydream VR goes standalone with Lenovo’s Mirage Solo,https://cdn.arstechnica.net/wp-content/uploads/2018/05/Mirage-Solo-6-760x380.jpg,"The hardware works, and the Mirage Camera can be fun, but there's nothing to change minds here.",Peter Bright,2018-05-05,,
Oculus Go review: The wireless-VR future begins today for only $199,https://cdn.arstechnica.net/wp-content/uploads/2018/04/IMG_5439-760x380.jpg,"Low-priced VR limits can't be ignored, but the great absolutely outweighs the bad.",Sam Machkovech,2018-05-01,,
"iPhone XS and XS Max review: Big screens, big performance, big lenses, big prices",https://cdn.arstechnica.net/wp-content/uploads/2018/09/IMG_5157-e1538090876909-760x380.jpg,The second generation is always better.,Samuel Axon,2018-10-01,,
"Echo Show 2018 review: Seeing is believing, and there’s a lot more to see",https://cdn.arstechnica.net/wp-content/uploads/2018/10/echoshow2018_1-760x380.jpg,Even YouTube makes an appearance on the new $229 Echo Show.,Valentina Palladino,2018-10-08,,
Lenovo Yoga C930 2-in-1 review: Hidden features in all the right places,https://cdn.arstechnica.net/wp-content/uploads/2018/10/yogac930_1-760x380.jpg,"The $1,299 upgrade cleverly solves some of the problems that plagued the C920.",Valentina Palladino,2018-10-26,Sleek all-metal design.,Speakers aren't as loud as they could be.
"HP Spectre 15 x360 2018 review: Made better by standard 4K, great battery life",https://cdn.arstechnica.net/wp-content/uploads/2018/05/spectrex360152018_24-760x380.jpg,"It may not be the most portable machine, but it fixes many previous problems.",Valentina Palladino,2018-05-25,,
Dell XPS 15 2-in-1 review: Meet the child of Intel and AMD’s unholy union,https://cdn.arstechnica.net/wp-content/uploads/2018/05/IMG_4230-760x380.jpg,A chipset that combines Intel's CPU with AMD's GPU makes the XPS 15 thinner.,Samuel Axon,2018-05-23,,
Fitbit Charge 3 review: Peppering a fitness tracker with smartwatch powers,https://cdn.arstechnica.net/wp-content/uploads/2018/10/fitbitcharge3_13-760x380.jpg,"It almost has everything you'd expect in a $150 tracker, plus a few new tricks.",Valentina Palladino,2018-10-12,,
Pixel 3 XL review—Google software deserves better than this hardware,https://cdn.arstechnica.net/wp-content/uploads/2018/10/11-760x380.jpg,"The best camera ever, really great performance, and dated, greasy hardware. ",Ron Amadeo,2018-10-15,"
            ",
"Nintendo Labo tests, part one: Robot Kit’s cardboard stomps are fun but shallow",https://cdn.arstechnica.net/wp-content/uploads/2018/05/IMG_5872-1-760x380.jpg,"Kaiju-stomping half of Labo is intentionally thin. For many, that might be fine.",Sam Machkovech,2018-05-13,,
"Puppy Cube mini-review: 720p limits the potential, but it works surprisingly well",https://cdn.arstechnica.net/wp-content/uploads/2018/10/PuppyCube-Kitchen-Landscape-760x380.jpg,"This projector would be great for camping trips, but it won't replace your TV at home.",Jim Salter,2018-10-30,"I was impressed with Puppy Cube's responsive touch interface and ability to display sharp, clean, readable graphics on just about any surface and light condition I threw at it.","The not-currently-working Cast support and occasional touch-input glitches aren't the end of the world, but a device this pricey really shouldn't have bugs of that caliber."
Xiaomi Mi A1 review—A $220 iPhone clone with stock Android? Sign us up,https://cdn.arstechnica.net/wp-content/uploads/2018/02/10-760x380.jpg,"Xiaomi’s first Android One phone is a winner, provided you can handle the LTE bands. ",Ron Amadeo,2018-03-26,,
Nvidia GTX 1070 Ti review: A fine graphics card—but price remains high,https://cdn.arstechnica.net/wp-content/uploads/2017/11/DSC09934-760x380.jpg,"Vega 56 should have led to lower prices. Instead, the 1070 Ti maintains the status quo.",Mark Walton,2017-11-02,As much as 25 percent faster than a GTX 1070 at stock speeds,A GTX 1070 price cut would have been better value for consumers
"HP Spectre 13 2017 review: A killer laptop, now touch-friendly",https://cdn.arstechnica.net/wp-content/uploads/2017/11/spectre132017_17-760x380.jpg,"Video: Besides 8th-gen Intel CPUs, a standard touchscreen elevates the new Spectre 13.",Valentina Palladino,2017-11-10,,
"Surface Book 2 review: Monster performance, but lightning hasn’t struck twice",https://cdn.arstechnica.net/wp-content/uploads/2017/11/surface-book-2-760x380.jpg,"To be frank, a system this expensive (~$2,500) needs to be more forward-looking.",Peter Bright,2017-11-16,,
"Garmin Vivosmart 4 review: An affordable band for easy fitness, SpO2 data",https://cdn.arstechnica.net/wp-content/uploads/2018/10/garminvivosmart4_2-760x380.jpg,The $129 band looks better and tracks more than any previous Vivosmart device.,Valentina Palladino,2018-10-27,,
"StarCraft Remastered review: Brood War keeps on ticking, clicking",https://cdn.arstechnica.net/wp-content/uploads/2017/08/SCR-1-760x380.png,"A $15 coat of paint doesn't disturb the venerated classic, warts and all.",Steven Strom,2017-08-21,Higher-resolution art looks great—especially in widescreen.,Some of the completely redone art is a little generic.
iPhone X review: Early adopting the future,https://cdn.arstechnica.net/wp-content/uploads/2017/11/iPhone-X-front-760x380.jpg,The most expensive iPhone ever is Apple's proposal for the future of mobile.,Samuel Axon,2017-11-03,,
"OnePlus 5T review—An outstanding combination of specs, design, and price",https://cdn.arstechnica.net/wp-content/uploads/2017/11/OnePlus-5T-feature-760x380.jpg,OnePlus' $500 wonder makes us question why we'd ever pay $800 for a smartphone.,Ron Amadeo,2017-11-20,,
Mario + Rabbids Kingdom Battle is a great introduction to tactical RPGs,https://cdn.arstechnica.net/wp-content/uploads/2017/08/2017082120141100-9600BAE614E6833B1A261F5FB229CDBA-760x380.jpg,"Odd combo is more peanut butter and chocolate than, say, steak and chocolate.",Kyle Orland,2017-08-28,Lots of variety in enemies and situations keeps things fresh.,Lucky shots can carry you through or ruin a battle quickly.
Knack II review: A slightly better class of boring,https://cdn.arstechnica.net/wp-content/uploads/2017/09/Knack-1-760x380.jpg,Sequel improves on the PS4 launch title but ends up utterly forgettable.,Steven Strom,2017-09-05,"Surprisingly complex, satisfying combat",Completely unremarkable story and characters
I’ve fallen in love with a laptop—the Lenovo ThinkPad X1 Yoga,https://cdn.arstechnica.net/wp-content/uploads/2017/09/lenovo-thinkpad-x1-yoga-gen-2-3-760x380.png,Review: Lenovo has built the platonic ideal of a modern laptop.,Peter Bright,2017-09-09,,
Agents of Mayhem review: Destroying a really dull open world,https://cdn.arstechnica.net/wp-content/uploads/2017/08/Mayhem-8-760x380.jpg,Saturday morning cartoon style struggles against a fatiguing open world.,Steven Strom,2017-08-18,"Light, cartoony flair is a nice departure from drabber open-world games",Missions and side activities are incredibly repetitive
"iOS 11, thoroughly reviewed",https://cdn.arstechnica.net/wp-content/uploads/2017/09/DSC07004-760x380.jpg,"Wide-ranging update is full of changes, but iPad benefits the most.",Andrew Cunningham,2017-09-19,,
"Nidhogg 2 review: Violent, disgusting, and hilariously fun",https://cdn.arstechnica.net/wp-content/uploads/2017/08/nidhogg2-approved-760x380.jpg,"A better game for series fans old and new, this is everything a great sequel should be.",Sam Machkovech,2017-08-19,"Original game's solid formula has been intelligently built upon, not thrown out.","Online mode sacrifices speed for frame-perfect accuracy, so it can feel clunky even on a good connection."
macOS 10.13 High Sierra: The Ars Technica review,https://cdn.arstechnica.net/wp-content/uploads/2017/09/image_large_2x-760x380.jpg,A focus on foundation makes for an important but nigh-invisible update.,Andrew Cunningham,2017-09-25,,
"Intel Core i9-7960X review: It beats Threadripper, but for a price",https://cdn.arstechnica.net/wp-content/uploads/2017/09/DSC09619-760x380.jpg,80% more cash than a 1950X for less than 20% more performance? Tough sell.,Mark Walton,2017-09-25,,
iPhone 8 and 8 Plus review: The curious case of the time-traveling phone,https://cdn.arstechnica.net/wp-content/uploads/2017/09/IMG_3278-760x380.jpg,"The iPhone 8 is a great phone, but who is it for?",Samuel Axon,2017-09-28,,
"Android 8.0 Oreo, thoroughly reviewed",https://cdn.arstechnica.net/wp-content/uploads/2017/08/Android-8.0-Oreo-760x380.jpg,"We take a 20,000 word deep-dive on Android's ""foundational"" upgrades.",Ron Amadeo,2017-09-04,,
"Tooth and Tail review: Delightful, rodent-riddled StarCraft for the rest of us",https://cdn.arstechnica.net/wp-content/uploads/2017/09/tooth_screen1_armies-760x380.png,"Yes, you can play a deep, fantastic RTS game with only a gamepad.",Sam Machkovech,2017-09-17,,
Forza Motorsport 7 reviewed: Racing fun for everyone,https://cdn.arstechnica.net/wp-content/uploads/2017/09/ForzaMotorsport7_Preview_SoManyDifferentCars-760x380.jpg,"It feels like a Greatest Hits of the franchise, but there are a few misses on the way.",Jonathan M. Gitlin,2017-09-28,,
Intel Coffee Lake Core i7-8700K review: The best gaming CPU you can buy,https://cdn.arstechnica.net/wp-content/uploads/2017/10/DSC09738-760x380.jpg,It even beats an eight-core Ryzen in many content creation apps—but boy does it run hot.,Mark Walton,2017-10-05,,
"Apple TV 4K review: Ambition, meet reality",https://cdn.arstechnica.net/wp-content/uploads/2017/10/Apple-TV-4K-760x380.jpg,"Image quality is great, but the admirable TV app moonshot didn't quite make it.",Samuel Axon,2017-10-09,,
"iOS 11 on the iPhone 5S: Slower, but not quite slow",https://cdn.arstechnica.net/wp-content/uploads/2017/09/DSC07026-760x380.jpg,"The 5S is slower for sure, but it's still faster than the iPhone 5 on iOS 10.",Andrew Cunningham,2017-09-19,,
Logitech Craft review: A slick keyboard combo that takes on the Surface Dial,https://cdn.arstechnica.net/wp-content/uploads/2017/10/DSC09771-760x380.jpg,"It's not cheap, but Craft is well built and offers a great experience for creatives.",Mark Walton,2017-10-11,Excellent build quality,Steep price
Google Pixelbook review: Prepared today for the possible reality of tomorrow,https://cdn.arstechnica.net/wp-content/uploads/2017/10/googlepixelbook3-760x380.jpg,"I'm not ready for the future the Pixelbook is made for, and neither is Chrome OS.",Valentina Palladino,2017-10-26,,
"Garmin Vivosmart 3 review: Shots fired at Fitbit, but some don’t hit",https://cdn.arstechnica.net/wp-content/uploads/2017/04/vivosmart3_12-760x380.jpg,"Rep counting in a $140 device is great, but that's not the whole story.",Valentina Palladino,2017-04-26,,
Roku Ultra and Streaming Stick+ review: High-end streaming with low-end frills,https://cdn.arstechnica.net/wp-content/uploads/2017/12/Roku-Ultra-and-Streaming-Stick-Plus-760x380.jpg,The company that makes the best low-end devices doesn't impress at the top.,Samuel Axon,2017-12-02,,
Ryzen 5 review: AMD muscles in on Intel’s i5 sweet spot,https://cdn.arstechnica.net/wp-content/uploads/2017/05/DSC02248-760x380.jpg,"Gaming performance still an anomaly, but the Ryzen 5 1600X and 1500X are great chips.",Mark Walton,2017-05-08,,
Hands in the box: New puzzle game Statik does right by VR,https://cdn.arstechnica.net/wp-content/uploads/2017/05/statik-header-760x380.jpg,"Review: Like other VR games, it’s brief, but what a mind-bender while it lasts. Plus, co-op!",Sam Machkovech,2017-05-07,"Logical language is reset entirely from one puzzle to the next, and that means players encounter a lot of clever puzzles","Shorter video games are acceptable, but, gosh, I wasn’t done enjoying this game after only 3 hours"
Prey impressions: Underpowered and loving it,https://cdn.arstechnica.net/wp-content/uploads/2017/05/prey3-760x380.jpg,"Early going is a struggle for survival in a gleaming, threatening space station.",Kyle Orland,2017-05-05,,
"Strafe: Difficult, randomly generated Quake-like kicks ‘90s ass",https://cdn.arstechnica.net/wp-content/uploads/2017/05/strafe-ars-approved2-760x380.jpg,It’s so hard that we still haven’t come close to beating it. Don’t care.,Sam Machkovech,2017-05-09,"Random level generation system is solid, and monster appearances make each run feel unique","Monster variety is pretty thin, which becomes apparent as players repeat tough opening section over and over and over"
Harman Kardon Invoke review: Cortana isn’t too comfortable in the home yet,https://cdn.arstechnica.net/wp-content/uploads/2017/10/HKinvoke6-760x380.jpg,Microsoft needs to do some tweaking to make Cortana a better at-home assistant.,Valentina Palladino,2017-10-30,Great sound quality.,"Cortana only responds to ""Hey Cortana."" No variations allowed."
"Nokia 3310 review: No matter how much you think you want it, you don’t want it",https://cdn.arstechnica.net/wp-content/uploads/2017/05/DSC02570-760x380.jpg,"Overpriced and underpowered, the Nokia 3310 is a feature phone for the hipster elite.",Mark Walton,2017-05-24,"Looks a bit like the old 3310, but thinner and lighter",Overpriced
LG Gram review: Amazingly light laptop either needs to be cheaper or better,https://cdn.arstechnica.net/wp-content/uploads/2017/05/DSC06628-760x380.jpg,It’s a competitive market and others do better on the details.,Andrew Cunningham,2017-05-21,,
"Xiaomi Air 12 laptop review: Like a MacBook, but a third of the price",https://cdn.arstechnica.net/wp-content/uploads/2017/05/1471327156248482-760x380.jpg,About $500 buys you a 12-inch MacBook-like laptop—with full-size USB and HDMI ports.,Alun Taylor,2017-05-15,,
Sony’s Farpoint falls just short of being VR’s best FPS yet,https://cdn.arstechnica.net/wp-content/uploads/2017/05/Farpoint_001.0-760x380.jpg,"No nausea! Some great action and plot! But beware serious issues, unnecessary add-on.",Sam Machkovech,2017-05-16,"The best ""traditional FPS"" in VR yet—and proof that it can be done comfortably",Superfluous content turns the game into a disappointing slog
