Title,PIC,Summary,Author,Date,Pros,Cons,URL,Source_internal_ID,Product Name,Verdict,OCN
"2019 16-inch MacBook Pro review: Bye-bye, butterfly",https://cdn.arstechnica.net/wp-content/uploads/2019/11/2019-16-inch-escape-key-760x380.jpeg,Apple’s new laptop seems designed to address three years of user complaints.,Samuel Axon,2019-11-25,Better video performance than the MacBook Pro has recently been known for,No Wi-Fi 6,https://arstechnica.com/gadgets/2019/11/2019-16-inch-macbook-pro-review-bye-bye-butterfly/,1622043,2019 16-inch MacBook Pro ,"The Mac is still not for everybody, and it likely never again will be. But the 2019 16-inch MacBook Pro is now a better fit for the users Apple has been trying to reach. Bye bye butterfly; hello faster render times.",gadgets
"The 2019 iPad races to the bottom (price-wise), but it’s not so bad down there",https://cdn.arstechnica.net/wp-content/uploads/2019/10/2019-iPad-hero-760x380.jpg,"Apple's new entry-level tablet delivers the basics, and that will be enough for some.",Samuel Axon,2019-10-23,Affordable pricing for a tablet of this quality,Notably slower performance for games and creative applications than the rest of Apple's 2019 mobile and tablet lineup,https://arstechnica.com/gadgets/2019/10/mini-review-the-2019-ipad-has-a-new-skin-but-its-mostly-the-same-tablet/,1587285,"The 2019 iPad races to the bottom (price-wise), but it’s not so bad down there","I still believe the iPad Air is the best choice for most people who can afford it, but for kids or for organizations or individuals who have to pinch those pennies and only need the basics, the seventh-generation iPad is still worth considering. It gives you the majority of what's good about the iPad at a significantly lower price point. Just be ready to spend a lot more on that Smart Keyboard if you plan to try to get work done.",gadgets
"iPadOS review: The iPad is dead, long live the iPad",https://cdn.arstechnica.net/wp-content/uploads/2019/10/iPadOS-header-760x380.png,"Step by step, Apple is taking the iPad in a wholly new direction.",Samuel Axon,2019-10-11,"Safari now shows desktop versions of websites by default, and it does a better job of making them work well on the iPad",The home screen improvements don't go far enough to reinvent a very dated and often frustrating implementation,https://arstechnica.com/gadgets/2019/10/ipados-review-the-ipad-is-dead-long-live-the-ipad/,1582717,iPadOS ,"In any case, Cupertino's efforts to respond to long-time user feedback herald a very interesting new chapter for the Apple ecosystem. And doing serious work on a true tablet has never been easier.",gadgets
Fitbit Inspire HR review: A worthy $99 investment in your health,https://cdn.arstechnica.net/wp-content/uploads/2019/03/fitbitinspireHR1-760x380.jpg,Fitbit packed many essentials into its $99 replacement for the Alta HR.,Valentina Palladino,2019-03-12,"Refined, lightweight design with interchangeable bands.",Limited number of watch faces.,https://arstechnica.com/gadgets/2019/03/fitbit-inspire-hr-review-a-worthy-99-investment-in-your-health/,1469277,Fitbit Inspire HR ,"That price is very attractive, but you get what you pay for. The Inspire HR doesn't do everything you may want a fitness wearable to do, but that's intentional by design. Like the Alta HR was, the Inspire HR is great for ",gadgets
Huawei Matebook 13 review: A cheaper Matebook X Pro with killer performance,https://cdn.arstechnica.net/wp-content/uploads/2019/01/matebook13_review_2-760x380.jpg,"This $1,299 laptop is stiff competition for Huawei's own $1,499 Matebook X Pro.",Valentina Palladino,2019-01-29,Minimalist yet sturdy design.,No Thunderbolt 3.,https://arstechnica.com/gadgets/2019/01/huawei-matebook-13-review-a-cheaper-matebook-x-pro-with-killer-performance/,1443343,Huawei Matebook 13 ,"Nevertheless, I question why most would even consider the Matebook X Pro when the Matebook 13 now exists. Will users be willing to spend around $300 more for Thunderbolt 3, killer battery life, and a larger, higher-resolution screen? Especially when that does ",gadgets
Guidemaster: The best Windows ultrabooks you can buy right now,https://cdn.arstechnica.net/wp-content/uploads/2019/03/DSC_7329-760x380.jpg,Ars tests out the biggest flagship laptops to see which are worth your money.,Valentina Palladino,2019-03-20,High-end design with a soundbar and pen embedded into its hinge.,No IR camera.,https://arstechnica.com/gadgets/2019/03/guidemaster-the-best-windows-ultrabooks-you-can-buy-right-now/,1465555,Guidemaster: The best Windows ultrabooks you can buy right now,"All of that complements the available specs for the X1 Carbon: Core i7-8650U processors with vPro, up to 16GB of RAM, and up to 1TB of PCIe SSD. The device should get even better once the ",gadgets
Mini-review: Fitbit’s Versa Lite favors affordability over unnecessary features,https://cdn.arstechnica.net/wp-content/uploads/2019/03/versalite9-760x380.jpg,"If the original Versa was overkill for you, the Versa Lite may be a better option.",Valentina Palladino,2019-03-23,"Lightweight, attractive design with interchangeable bands",No altimeter,https://arstechnica.com/gadgets/2019/03/mini-review-fitbit-sticks-to-the-bare-necessities-in-the-159-versa-lite/,1473581,Mini-,"But if you can live without those features, spending $160 on the Versa Lite is a worthwhile decision. It will appeal to those who want to stick to a strict budget, and that's something that not many other smartwatches do. However, if you can afford the regular $200 Versa, I think it's the better device if for nothing else than its more reliable battery life and the inclusion of an altimeter.",gadgets
XPS 13 2019 review: One small move made Dell’s best laptop even better,https://cdn.arstechnica.net/wp-content/uploads/2019/02/xps132019_1-760x380.jpg,Key fixes in this year's model mean the $899 XPS 13 has few things holding it back.,Valentina Palladino,2019-02-25,"Compact, attractive design with large screen area.",16:9 aspect ratio will bother some.,https://arstechnica.com/gadgets/2019/02/dell-xps-13-2019-review-small-and-mighty-now-with-a-proper-webcam/,1459071,XPS 13 2019 ,"The biggest drawbacks to the XPS 13 are common among Ultrabooks available today: limited USB-A ports (or in this case, none) and noisy fans. Dell would have had to make the notebook thicker to fix the former and sacrifice power and thermal management to fix the latter. Those tradeoffs would have resulted in a very different notebook—I think Dell made the right choices with the new XPS 13 laptop.",gadgets
2018 iPad Pro review: “What’s a computer?”,https://cdn.arstechnica.net/wp-content/uploads/2018/11/iPad-Pro-2018-smart-cover-lap-760x380.jpg,"The iPad Pro raises the bar for performance, but has too many other limitations.",Samuel Axon,2018-11-07,"Astonishing performance for a tablet, pushing up against many powerful laptops","It doesn’t support external storage over USB-C, and has many other limitations like that",https://arstechnica.com/gadgets/2018/11/2018-ipad-pro-review-whats-a-computer/,1408061,2018 iPad Pro ,"Until all those maybes become reality, the rest of us will still be waiting. And it really is too bad, because the potential is already there.",gadgets
Review: Intel’s 9th Gen Core i9 9900K processor hits 5GHz—just at a price,https://cdn.arstechnica.net/wp-content/uploads/2018/11/processor2-760x380.jpg,Intel’s latest has performance to spare for gamers and power users.,Richard Baguley,2018-11-17,The fastest Intel processor for the desktop,Not much overhead for overclocking,https://arstechnica.com/gadgets/2018/11/intel-9th-gen-core-i9-9900k-review-top-performance-but-pricey/,1410375,Review: Intel’s 9th Gen Core i9 9900K processor hits 5GHz—just at a price,,gadgets
Withings Pulse HR review: A longer-lasting competitor to Fitbit’s Alta HR,https://cdn.arstechnica.net/wp-content/uploads/2019/01/pulsehr2-760x380.jpg,"A 20-day battery life defines this unassuming, $129 tracker.",Valentina Palladino,2019-01-20,"Water-resistant, stainless-steel design.",Tap-only OLED display is very small and often unresponsive.,https://arstechnica.com/gadgets/2019/01/withings-pulse-hr-review-a-longer-lasting-competitor-to-fitbits-alta-hr/,1437215,Withings Pulse HR ,"For that reason (and the somewhat lackluster nature of the Health Mate app), the $99 Alta HR remains my top fitness tracker for most users. However, the Pulse HR is a great option for those who want to rarely take off their fitness band and those who value connected GPS more than the smartwatch features that other manufacturers are now trying to squeeze into their hybrid trackers.",gadgets
Pixel Slate review: Paying the “Google” premium for Chrome OS,https://cdn.arstechnica.net/wp-content/uploads/2018/11/pixelslate11-760x380.jpg,"Starting at $599, the overpriced tablet showcases Chrome OS' promising tablet future.",Valentina Palladino,2018-11-29,"Sturdy, minimalist tablet design.",No Thunderbolt 3 ports.,https://arstechnica.com/gadgets/2018/11/pixel-slate-review-paying-the-google-premium-for-chrome-os/,1415513,Pixel Slate ,"But if you can live without a fingerprint sensor and that cute little ""G"" on the slab's back corner, HP's Chromebook x2 provides comparable performance and includes a keyboard and stylus in its $599 price tag. It may not be made by Google, but it's still a better value Chrome OS tablet.",gadgets
Huawei Watch GT review: When hardware and software don’t mesh,https://cdn.arstechnica.net/wp-content/uploads/2018/12/huaweiwatchgt14-760x380.jpg,"Huawei's wearable OS could be great, but it doesn't fit this $230 smartwatch.",Valentina Palladino,2018-12-16,Striking AMOLED display.,Generic design.,https://arstechnica.com/gadgets/2018/12/huawei-watch-gt-review-a-pricey-companion-for-the-limited-liteos/,1425925,Huawei Watch GT ,"Overall, the Watch GT is a solid smartwatch, and LiteOS is a decent, lightweight operating system to power smartwatches. But the two don't jive together. I don't think Huawei should overhaul LiteOS entirely, but rather a few changes to the Watch GT would make it a more suitable device for the company's OS. Huawei should ditch most of the premium components, sacrifice a bit in the quality of the AMOLED display, introduce a smaller case size, and maybe even remove the onboard GPS and add a connected GPS feature. Such a device would be a better match for LiteOS, and it likely wouldn't cost $230 either.",gadgets
Lenovo Thinkbook 13s review: ThinkPad influences at a great price,https://cdn.arstechnica.net/wp-content/uploads/2019/08/thinkbook13_1-760x380.jpg,Almost anyone can appreciate this solid Windows laptop that starts at under $750.,Valentina Palladino,2019-09-07,"Modern, professional design",No IR camera,https://arstechnica.com/gadgets/2019/09/lenovo-thinkbook-13s-review-thinkpad-influences-at-a-great-price/,1552255,Lenovo Thinkbook 13s ,"The biggest competition for the Thinkbook 13s is HP's Envy 13 laptop. Both are great machines, but you can currently get the Envy 13 with a Core i7 processor, 8GB of RAM, and 256GB SSD for $749. The Envy 13 is the device to get if you like a flashier laptop, but the Thinkbook 13s is a solid alternative for those who prefer professional, utilitarian design and privacy features above all else.",gadgets
iPad Air and iPad mini 2019 review: Apple’s tablets strike an ideal balance,https://cdn.arstechnica.net/wp-content/uploads/2019/04/iPad-mini-home-760x380.jpeg,These are clearly more appealing to most people than Apple's 2018 iPad or iPad Pro.,Samuel Axon,2019-04-16,Exceptional CPU performance in both tablets,"First-generation Apple Pencil support is good, but second-generation would have been a lot better",https://arstechnica.com/gadgets/2019/04/ipad-air-and-ipad-mini-2019-review-apples-tablets-strike-an-ideal-balance/,1490825,iPad Air and iPad mini 2019 ,"For everyone else, these small refinements make for the most easy-to-recommend true tablet solutions on the market apart from maybe aftermarket 2017 iPad Pros—especially this new Air.",gadgets
"Blackmagic eGPU Pro mini-review: Quiet, fast, and extremely expensive—like a Mac",https://cdn.arstechnica.net/wp-content/uploads/2019/04/Blackmagic-eGPU-Pro-ports-760x380.jpeg,The higher-end cousin to Blackmagic's first Mac eGPU delivers where it counts.,Samuel Axon,2019-04-26,"Significantly more graphics power than you'll get in any Mac laptop's configurable options, and plenty for most professional applications and games",There's still no easy way to use an eGPU like this in Boot Camp on any Mac except the Mac mini,https://arstechnica.com/gadgets/2019/04/blackmagic-egpu-pro-mini-review-quiet-fast-and-extremely-expensive-like-a-mac/,1495001,Blackmagic eGPU Pro mini-,"If you're of that mind, we can recommend this admittedly pricy graphics solution. But as is the case with Macs themselves, you can get more power for less if you don't need a workstation-class GPU and you're willing to sacrifice those minimalist priorities.",gadgets
HP Spectre 15 x360 2019 review: Carving a niche in a crowded space,https://cdn.arstechnica.net/wp-content/uploads/2019/04/HP-x360-Spectre-15-angle-760x380.jpeg,"The ""gem-cut"" design isn't for everybody, but it sure is striking.",Samuel Axon,2019-05-10,Good graphics performance.,"I'm not a fan of the eye-catching design; personally, I find it gaudy. But that's subjective, and someone else might love it.",https://arstechnica.com/gadgets/2019/05/hp-spectre-15-x360-2019-review-carving-a-niche-in-a-crowded-space/,1474677,HP Spectre 15 x360 2019 ,"So no, this device is not perfect. But it's nice to see OEMs like HP trying new things, and some of them (like the webcam switch and the port placement) are wins in our book. The Spectre 15 x360 isn't for everybody, but it carves its own earned niche into the crowded 15-inch two-in-one space.",gadgets
15-inch MacBook Pro mini-review: How much does Apple’s fastest laptop offer?,https://cdn.arstechnica.net/wp-content/uploads/2019/07/2019-MacBook-Pro-20-760x380.jpeg,We tested it decked-out with an 8-core Core i9 CPU and Vega 20 graphics.,Samuel Axon,2019-07-28,Very strong graphics performance for this form factor,"It's extremely expensive, treading well into professional-use-only territory",https://arstechnica.com/gadgets/2019/07/15-inch-macbook-pro-mini-review-how-much-does-apples-fastest-laptop-offer/,1537263,15-inch MacBook Pro mini-,"Is that a recommendation? I think so. But it's a recommendation to an ever-smaller group of people, and Apple seems to be cool with that. At least with this spec, the ""Pro"" moniker is a lot harder to dispute.",gadgets
Dell Inspiron 13 7000 review: Premium and practical all in one,https://cdn.arstechnica.net/wp-content/uploads/2019/07/inspiron137000BE_4-760x380.jpg,Dell gives this Inspiron 2-in-1 a glow-up without sacrificing power or features.,Valentina Palladino,2019-07-06,Subtle yet professional design.,Fans can get loud.,https://arstechnica.com/gadgets/2019/07/dell-inspiron-13-7000-review-premium-and-practical-all-in-one/,1528811,Dell Inspiron 13 7000 ,"That being said, affordability factors in with this machine as well: the Inspiron 13 7000 Black Edition that we tested ($1,420.99) comes in about $300 less than the XPS 13 laptop that we tested ($1,709.99). There will always be some people who want the top-of-the-line product, and the XPS remains at the head of Dell's ultraportable lineup. However, that's not the only option if you want a high-quality machine with a lot of power as well as a lot of capabilities that aren't hindered by design or the latest laptop trends. Those looking for a great value for your money should consider the Inspiron 7000 series, especially the new Black Edition convertible.",gadgets
ThinkPad X1 Carbon 7th-gen mini-review: Minor updates made to a stellar machine,https://cdn.arstechnica.net/wp-content/uploads/2019/09/x1carbon7thgen_1-760x380.jpg,"Lenovo promised 18 hours of battery life, and it delivered with this $1,462 notebook.",Valentina Palladino,2019-09-13,"Thinner, lighter design with MIL-SPEC durability",IR camera is optional and cannot be paired with shuttered webcam,https://arstechnica.com/gadgets/2019/09/thinkpad-x1-carbon-mini-review-now-even-better-with-improved-battery-life/,1563487,ThinkPad X1 Carbon 7th-gen mini-,"Those who want the fastest and most up-to-date X1 Carbon should wait for the models with 10th-generation Intel CPUs to come out in the next few weeks. Just keep in mind that those new models only differ from the seventh-gen in CPU—the same hardware improvements exist on both models. If you can live with an older (yet still speedy) processor, the seventh-generation X1 Carbon is just as solid of a laptop as its predecessors, and it's made better by an updated design, good performance, and a killer battery life.",gadgets
"Apple Watch Series 5 review: A better, more independent timepiece",https://cdn.arstechnica.net/wp-content/uploads/2019/09/applewatchseries5_7-760x380.jpg,"An always-on display finally comes to the Apple Watch, but watchOS 6 steals the show.",Valentina Palladino,2019-09-25,Solid build quality and design.,Activity Trends isn't as detailed as it should be.,https://arstechnica.com/gadgets/2019/09/apple-watch-series-5-review-a-better-more-independent-timepiece/,1570769,Apple Watch Series 5 ,"You'll likely always need an iPhone to use an Apple Watch, but with every update it continues to get easier to leave that iPhone behind and remain connected to the most important aspects of your digital life by using the Apple Watch.",gadgets
iOS 13: The Ars Technica review,https://cdn.arstechnica.net/wp-content/uploads/2019/09/IMG_0038-760x380.jpg,There's a lot more to this update than Dark Mode.,Samuel Axon,2019-09-20,"A continued, unrivaled focused on privacy",Some of the features and improvements are going to be hard for most users to discover,https://arstechnica.com/gadgets/2019/09/ios-13-the-ars-technica-review/,1569271,iOS 13: The Ars Technica review," Apple released iOS 13.1 on September 24, 2019, introducing a few of features that we noted in this review didn't make it into iOS 13, and fixing a number of—but not all—the launch bugs with iOS 13. For more information, take a look at ",gadgets
iPhone 11 Pro and 11 Pro Max review: High quality for high prices,https://cdn.arstechnica.net/wp-content/uploads/2019/09/iPhone-11-Pro-and-11-Pro-Max-cameras-1-760x380.jpg,Apple’s new flagship shows the X-series iPhones have matured.,Samuel Axon,2019-09-26,You’ll get greatly improved battery life over your current iPhone,"Even with improvements to the glass, it’s still awfully fragile for something so expensive",https://arstechnica.com/gadgets/2019/09/iphone-11-pro-and-11-pro-max-review-high-quality-for-high-prices/,1572411,iPhone 11 Pro and 11 Pro Max ,"In the event that money is no concern, though, buy the iPhone 11 Pro or iPhone 11 Pro Max—it's an outstanding handset, and you absolutely get what you pay for. Just, maybe get AppleCare+, too. And you might want some AirPods as well. This is adding up quickly, isn't it? That's probably by design—and Apple remains a leader in design.",gadgets
iPhone 11 review: The most attractive choice in Apple’s best lineup in years,https://cdn.arstechnica.net/wp-content/uploads/2019/09/iPhone-11-notch-hand-760x380.jpg,"It's only a slight update to the iPhone XR, but it's the best iPhone for most.",Samuel Axon,2019-09-29,"It's a little cheaper than last year's XR, but it offers all the same features and more",It's made of fragile glass and can generally only be repaired by Apple at great expense (unless you buy AppleCare+),https://arstechnica.com/gadgets/2019/09/iphone-11-review-the-sweet-spot-iphone/,1575725,iPhone 11 ,"If you're looking to live in Apple's mobile ecosystem, but you don't care about bleeding-edge OLED displays or attention-grabbing designs and premium materials, this is the way to go. Like the iPhone XR last year, we're giving it the Ars Approved badge and recommending it as the iPhone to buy for most people. Just be ready to spend a little more than the price of the phone on extras like AppleCare+, protective cases, or AirPods if you want the best experience.",gadgets
iPhone XR review: Keeping compromises to a minimum,https://cdn.arstechnica.net/wp-content/uploads/2018/11/iPhone-XR-front-view-760x380.jpg,Apple’s slightly cheaper handset is the best new iPhone for most people.,Samuel Axon,2018-11-05,"Powerful CPU, GPU, and machine learning chips give this phone the same industry-beating performance we measured in the XS.","The screen’s pixel density is not optimal, and Apple’s OLED implementation offers many advantages you’ll be missing out on here as compared to the XS phones.",https://arstechnica.com/gadgets/2018/11/iphone-xr-review-keeping-compromises-to-a-minimum/,1406433,iPhone XR ,"But even if it’s not the entry-level handset some might want, the iPhone XR at least brings most of the benefits of the iPhone X-series phones to consumers who aren’t too keen on raising the bar on the cost of a flagship. For that reason, it's the iPhone we'd recommend to most people.",gadgets
"Dell XPS 13 two-in-one review: Lots to flex, few weaknesses",https://cdn.arstechnica.net/wp-content/uploads/2019/10/xps132in12019_2-760x380.jpg,"The XPS 13 many have been waiting for, but it may not be the two-in-one for everyone.",Valentina Palladino,2019-10-08,"Well-designed, attractive body.",No IR camera.,https://arstechnica.com/gadgets/2019/10/dell-xps-13-2-in-1-review-lots-to-flex-few-weaknesses/,1576913,Dell XPS 13 two-in-one ,"All of those things exist on last year's Spectre as well as on the newest Spectre x360 13. The updated version was just announced earlier this month, and it also includes Ice Lake architecture and Project Athena features (we haven't gotten the chance to test it yet, but keep an eye out for impressions in the future). You'll get more value for your money with the Spectre x360 13, but the XPS 13 two-in-one is a great option for those who need a little more flexibility than the XPS 13 laptop can provide.",gadgets
"Garmin Vivoactive 4s review: So many fitness features, so little time",https://cdn.arstechnica.net/wp-content/uploads/2019/09/vivoactive4s_11-760x380.jpg,More fitness chops than you'd expect in a $349 device but largely the same smartwatch.,Valentina Palladino,2019-10-01,"Streamlined, round case design.",On-screen animations not available for custom workouts.,https://arstechnica.com/gadgets/2019/10/garmin-vivoactive-4s-review-so-many-fitness-features-so-little-time/,1567881,Garmin Vivoactive 4s ,"But if you want your wearable to work harder for you, particularly in the health and fitness department, the Vivoactive 4 is a good option. It's more well-rounded in features than Forerunner smartwatches, and it's nowhere near as expensive as Fenix devices, making it a solid, mid-tier fitness watch for those who are more active than most.",gadgets
ROLI Songmaker Kit mini-review: Rediscovering my musical roots with fancy new tech,https://cdn.arstechnica.net/wp-content/uploads/2018/07/ROLI-Songmaker-Kit-MacBook-Pro-760x380.jpg,Can you find the expressiveness of a guitar in a MIDI controller?,Samuel Axon,2018-08-19,Much greater potential for expression than most other MIDI controllers,Seaboard Block component needs more controls like other MIDI controllers,https://arstechnica.com/gadgets/2018/08/roli-songmaker-kit-mini-review-rediscovering-my-roots-with-fancy-new-technology/,1350583,ROLI Songmaker Kit mini-,"The kit is worth a look if you feel limited by regular MIDI controllers. Just remember that you can get a solid, more traditional MIDI controller like the ",gadgets
Fitbit Versa review: Slowly but surely pushing Fitbit past the “fit” bit,https://cdn.arstechnica.net/wp-content/uploads/2018/03/fitbitversa12-760x380.jpg,"If you think Fitbit is just for fitness, this $200 smartwatch might change your mind.",Valentina Palladino,2018-03-26,Lightweight design that's water-resistant up to 50 meters.,Interchangeable bands are hard to remove and replace on the device.,https://arstechnica.com/gadgets/2018/03/fitbit-versa-review-slowly-but-surely-pushing-fitbit-past-the-fit-bit/,1278911,Fitbit Versa ,"Past success should tell Fitbit that ecosystem is everything. The company's mobile app is the best health and fitness program for any wearable because it has the flexibility to suit both serious athletes and novices alike. It didn't become that successful overnight, and neither will Fitbit OS. However, Fitbit has the opportunity to make its wearable operating system just as killer as its mobile application and overall ecosystem—if it can do that, its devices will be strong contenders in the smartwatch world. It may not have made a splash as Fitbit's first smartwatch, but if any device can entice users to take a chance on Fitbit as their smartwatch provider, it's the $200 Versa.",gadgets
