Title,Author,Description,Date,Score Rating,URL,Image,Bottom Line,Pros,Cons
PhoneSoap Pro review: Killing germs on your iPhone has never been easier,Bryan M Wolfe,"Unfortunately, our iPhones are cesspools of bacteria. To kill 99.99 percent of germs on your device, consider the PhoneSoap Pro.",2020-03-04,4.5,https://www.imore.com/phonesoap-pro-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/03/phonesoap-pro-hero.jpeg?itok=Vmxt36ma,: $120,,
Novostella Smart LED Floodlight Review: Flooded with light,Christopher Close,"The Novostella Smart LED Floodlight brings bright, colorful lighting to the great outdoors.",2020-02-25,3,https://www.imore.com/novostella-smart-led-floodlight-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/novostella-smart-led-floodlight-review-1.jpg?itok=y7-1EXKZ," The Novostella Smart LED Floodlight brings bright, colorful lighting to the great outdoors with an IP66 weather resistance rating. However, the clunky stand design and pairing process hinder the overall experience.",,
SENA Wallet Book Case review: Protect your valuables beautifully,Karen S Freeman,This gorgeous case holds your iPhone as well as up to three cards plus cash securely.,2020-02-21,3.5,https://www.imore.com/sena-wallet-book-case-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/sena-wallet-book-case-iphone-11-pro-hero.jpeg?itok=HJSo7SGE, This genuine leather case secures your iPhone as well as up to three cards plus cash.,,
Pad & Quill Leather Laptop Tote review: Professional style,Christine Chan,"One of Pad &amp; Quill's more recent offerings is the new Leather Laptop Tote. It's gorgeous and high quality, but not without flaws.",2020-02-21,3.5,https://www.imore.com/pad-quill-leather-laptop-tote-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/pad-quill-leather-laptop-tote-carry-side.jpg?itok=oj6Avqj5,": The Leather Laptop Tote is a gorgeous bag that's made from high quality, American full-grade leather with herringbone lining and UV resistant nylon stitching. It has plenty of pockets and space for your necessities, including a padded compartment for a laptop up to 13-inches, and zips shut to keep everything secure.",,
"Pokémon HOME review: If you seriously want to trade, you'll need to pay for the premium plan",Rebecca Spear,"If you're a Pokémon fan, you're likely considering creating a Pokémon HOME account. While it isn't the most intuitive service, it does provide several helpful features.",2020-02-21,4,https://www.imore.com/pokemon-home-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/pokemon-home-switch-and-mobile.jpg?itok=aFCTTeIY,": While there is a free version, you're going to have to pay for the premium subscription if you really want to use this service. The transferring process is a little clunky and limited, however trading with others online makes it worth it.",,
RoomMe Personal Location Sensor Review: Automation from above,Christopher Close,"RoomMe's Personal Location Sensor works with your phone to set the scene when entering, or leaving, a room.",2020-02-18,3.5,https://www.imore.com/roomme-personal-location-sensor-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/roomme-sensor-review-hero.jpg?itok=LEwgW3xJ," The RoomMe PLS provides personalized automations that activate quickly upon entering a room with your connected smartphone. However, limited HomeKit support, and reliance on having your phone in hand keeps it from being a must-have accessory.",,
Goldenerre Classic Link Bracelet for Apple Watch review: Gorgeous jewelry band,Karen S Freeman,"Who says the Apple Watch has to have a band that looks like, well, a watch band? Goldenerre takes the link bracelet to the next level with this elegant bracelet band.",2020-02-18,4.5,https://www.imore.com/goldenerre-classic-link-bracelet-apple-watch,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/goldenerre-classic-link-bracelet-apple-watch-hero.jpeg?itok=27hHr4_J," I'm in love with this link bracelet, which is more jewelry than Apple Watch band.",,
Roborock S5 Max review: My life is definitely better with Robbie in it,Lory Gil,"After to many failed attempts at using a robot vacuum, I'd just about given up ... until I met the Roborock S5 Max.",2020-02-13,4,https://www.imore.com/roborock-s5-max-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/roborock-s5-max-hero-09.jpeg?itok=yjcPcNxm," If the conditions in your house are right, this little robot is your new bestie.",,
Lutron Caséta Wireless Motion Sensor Review: Smart and speedy,Christopher Close,"The Caséta Wireless Smart Motion Sensor is crazy fast, reliable, and extremely easy to set up.",2020-02-12,4.5,https://www.imore.com/lutron-caseta-wireless-smart-motion-sensor-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/lutron-caseta-wireless-motion-sensor-review-4.jpg?itok=hm08_dTj," The Caséta Wireless Motion Sensor features extremely fast response times, high reliability, and is quite easy to set up. This combined with 10-year battery life, and multiple mounting options, make this sensor one of the best around.",,
IINA Review: A Top-Shelf Video Player Made for Mac,Nathan Alderman,One video-viewing app to rule them all.,2020-02-09,4,https://www.imore.com/iina-review-top-shelf-video-player-made-mac,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/iina_review_hero.jpeg?itok=8f7rY_fZ," IINA does almost everything you want a video player on Mac to do except make your popcorn for you, all with an Apple aesthetic design.",,
Wearlizer Stainless Steel and Resin Apple Watch Band review: Classic chic,Karen S Freeman,"Wearlizer's Stainless Steel and Resin Apple Watch Band looks like a classic link bracelet watch band, but the blend of colors and materials gives it a chic, modern look. The reasonable price tag may surprise you.",2020-02-05,4.5,https://www.imore.com/wearlizer-stainless-steel-and-resin-apple-watch-band-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/02/wearlizer-stainless-steel-and-resin-apple-watch-band-hero.jpeg?itok=EcG44U4Z, It's a classic link watchband with a modern twist for your Apple Watch that won't break the bank.,,
Abode iota Security Kit Review: Security without a subscription,Christopher Close,"The Abode iota Security Kit is a HomeKit compatible alarm system that keeps an eye on your home, without requiring a subscription.",2020-02-04,4,https://www.imore.com/abode-iota-security-kit-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/abode-iota-security-kit-review-hub-hero.jpg?itok=43yD2lVw," The Abode iota Security Kit provides a solid foundation for a DIY whole home security system, without requiring yet another subscription. Fast response times, HomeKit integration, and seemingly endless expandability combine with an affordable price to make the iota one of the best alarm systems around.",,
Puzzle & Dragons GOLD for Nintendo Switch review: A frustrating experience you're better without,Rebecca Spear,Curious about how the Nintendo Switch version of Puzzle &amp; Dragon holds up to the Smartphone version? It's not nearly as good.,2020-02-03,1.5,https://www.imore.com/puzzle-and-dragons-gold-nintendo-switch-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/puzzle-and-dragons-gold-nintendo-switch-001.jpg?itok=u61JRRst,": The puzzles themselves could be fun, but they're bogged down by a sloppy plot and horrible turn-based mechanics. This isn't a worthwhile purchase for most Switch gamers.",,
SpellTower Plus review: A classic reimagined for today,Christine Chan,SpellTower is a classic word game that came out back in 2011 and is beloved by many. And now it's back and better than ever in SpellTower Plus.,2020-01-31,,https://www.imore.com/spelltower-plus-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/spelltower-plus-hero.jpg?itok=xYLiABi4,": SpellTower+ is a great successor to a classic iOS word game. It adds five brand new modes, some new game mechanics, iCloud backup, new daily challenges, and more.",,
VirtualBox for Mac review: Unpolished virtualization that's not for everyone,Bryan M Wolfe,"Open-source VirtualBox isn't for most people. However, it has just enough perks that open it up to consideration.",2020-01-31,3.5,https://www.imore.com/virtualbox-review-free-virtualization-your-mac,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/virtualbox-linux-mac-hero.jpeg?itok=wLk3uhjF," Open-source, free for personal and educational use",,
HORI Split Pad Pro for Nintendo Switch review: The best way to play in handheld mode,Rebecca Spear,I tested the HORI Split Pad Pro for over 20 hours to see how well it worked with the Nintendo Switch. You're definitely gonna want to use these.,2020-01-30,4.5,https://www.imore.com/hori-split-pad-pro-nintendo-switch-review-where-have-these-been-all-my-life,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/hori-split-pad-pro-015_0.jpg?itok=LZRCjozl,": It's kind of expensive, but definitely worth it for a better handheld experience. These give you a D-pad, extra back buttons, Turbo buttons, and reduce hand strain when using your Switch.",,
Cadenshae Maternity & Nursing Activewear Review: An active mom's dream!,Nicolette Roux,"Looking for some cute new activewear Mama? Check out Cadenshae, stylish nursing and maternity wear for the mom on the go!",2020-01-30,5,https://www.imore.com/cadenshae-maternity-nursing-activewear-review-active-moms-dream,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/cadenshae_hero.jpg?itok=S6kMNJME,": Cadenshae is an excellent activewear line for moms pre and postpartum. They offer a wide selection of maternity and nursing apparel and were founded by a mommy/daddy duo. Their clothes are stylish, comfortable, convenient, thoughtfully designed, and well made.",,
WaterField Mezzo Laptop Backpack review: Perfectly mid-sized,Karen S Freeman,"The WaterField Mezzo Laptop Backpack is, as its name implies, mid-sized. It's perfect for the commuter or traveler, with padded pockets for your laptop and tablet, as well as other convenient features.",2020-01-30,4.5,https://www.imore.com/waterfield-mezzo-laptop-backpack-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/waterfield-mezzo-laptop-backpack-hero.jpeg?itok=fIYY4v2N," Carry your laptop, tablet, and other essentials in this mid-sized luxury bag.",,
Fantastical 3 review: You can throw all your other calendar apps in the trash,Lory Gil,"Fantastical already did pretty much everything I ever need a calendar app to do. Now it does things I never knew I wanted, but now I can't live without.",2020-01-29,,https://www.imore.com/fantastical-3-review-you-can-throw-all-your-other-calendar-apps-trash,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/fantastical-3-ipad-hero.jpeg?itok=saFdlSPo," With this update, Fantastical basically has it all. And with a premium subscription, you'll also always get the updates even if it doesn't currently have everything you need.",,
Wearlizer Thin Leather Apple Watch Band review: Excellent price and quality,Karen S Freeman,Treat your Apple Watch to a tapered leather band that won't break the bank. The quality is excellent and you'll find a huge selection of colors and patterns.,2020-01-29,4.5,https://www.imore.com/wearlizer-thin-leather-apple-watch-band-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/wearlizer-gray-thin-leather-apple-watch-band-hero.jpeg?itok=w_-Ho5DZ, Elevate your Apple Watch style with this high-quality leather band that won't break the bank.,,
HyperX ChargePlay Clutch Charging Case for Nintendo Switch review: Play your games longer with this awesome accessory,Rebecca Spear,"The Nintendo Switch is an awesome console. But, if you find it's running out of power too quickly you should consider picking up the HyperX ChargePlay Clutch portable battery charger.",2020-01-28,4.5,https://www.imore.com/hyperx-chargeplay-clutch-charging-case-nintendo-switch-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/hyperx-chargeplay-clutch-001.jpg?itok=WTLsT37C,": It's a bit expensive and it makes your Switch bulkier, but it provides extra battery life and much better grip than the console has on its own. It's a great purchase for any Switch owner.",,
Ring Fit Adventure Review three months later: How a video game made me less lazy,Lory Gil,"I went from less than 3,000 steps per day to having a personal trainer and I owe it all to a video game that teaches you how to be active.",2020-01-28,,https://www.imore.com/ring-fit-adventure-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/ring-fit-adventure-render.jpg?itok=rDscP1Qs, $80,,
Nomad Rugged Case for AirPods Pro review: It's the little things that make a big difference,Lory Gil,"It may seem like nothing more than a nice leather case at first glance, but Nomad's design team makes magic happen.",2020-01-28,,https://www.imore.com/nomad-rugged-case-airpods-pro-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/nomad-rugged-case-for-airpods-pro-review-01.jpeg?itok=LXbgNYC0," Though it has a simple, minimalist look, this rugged AirPods Pro case has a lot going on.",,
Malouf M555 Hands-on: Here's how app controls and Siri work with this wild adjustable bed base,Christopher Close,"Is this adjustable base the bed of the future? With app and Siri controls, we think so.",2020-01-26,,https://www.imore.com/malouf-m555-adjustable-base-hands-on,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/malouf-m555-favorite-position.jpg?itok=L2VUzQxe,,,
Your kids (and maybe yourself) will love Moshi Twilight Sleep Stories,Bryan M Wolfe,"Toddlers don't always want to go to bed at night. To make the nighttime routine easier for parents and children alike, there's the Moshi Twilight Sleep app.",2020-01-25,,https://www.imore.com/your-kids-and-perhaps-yourself-will-love-moshi-twilight-sleep-stories,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/baby-sleeping-pixabay.jpg?itok=Fqak0YhY,,,
PuroGamer Headset for Nintendo Switch review: Awesome wired headphones that will help protect your ears,Rebecca Spear,"I tested the PuroGamer volume-limiting headset for two weeks to get a feel for how well they work. Though they don't get louder than 85 dB, they're plenty loud for most people.",2020-01-24,4.5,https://www.imore.com/purogamer-headset-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/purogamer-headphones-004.jpg?itok=BUUXiNBi,": While they don't get super loud, they do provide plenty of volume and crystal clear sound. The fit is a little odd and might not work well for larger players, but they're a great option overall.",,
Wearlizer Rhinestone X-Link Apple Watch Band review: Elegant jewelry,Karen S Freeman,This pretty rhinestone-enhanced Apple Watch bangle bracelet looks more like jewelry on your wrist than a health and fitness band.,2020-01-23,4.5,https://www.imore.com/wearlizer-rhinestone-x-link-apple-watch-band-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/wearlizer-rhinestone-x-link-apple-watch-band-hero.jpeg?itok=LsHxAqHT, Turn your health and fitness tracker into a charming jewelry piece.,,
Tokyo Mirage Sessions #FE Encore for Nintendo Switch review: A quirky JRPG makes an upbeat comeback,Rebecca Spear,"Tokyo Mirage Sessions #FE Encore just released for Nintendo Switch. While it's a strange idea in concept, the random mix of Fire Emblem aspects and the world of Atlus gaming make it a charming experience overall.",2020-01-22,4,https://www.imore.com/tokyo-mirage-sessions-fe-encore-nintendo-switch-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/tokyo-mirage-sessions-fe-encore-041.jpg?itok=XldjgR1X,": This game offers fun turn-based combat, a fantastical look into the world of J-Pop, and gorgeous anime cutscenes. While it has Fire Emblem elements, it plays more like Shin Megami Tensei.",,
TwelveSouth AirSnap Pro review: Elegant protection for AirPods Pro,Christine Chan,TwelveSouth's new AirSnap Pro provides stylish protection for your AirPods Pro and makes carrying them more convenient than ever.,2020-01-21,4.5,https://www.imore.com/twelvesouth-airsnap-pro-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/twelvesouth-airsnap-pro-s-clip.jpg?itok=jCLCtoc3,": TwelveSouth's AirSnap Pro is an elegant and stylish case for the AirPods Pro made from premium top-grain leather with a metal snap enclosure. There's an opening at the bottom for easy charging and it's also wireless charging compatible, and you can use the S-clip or nylon wristlet for easy carrying.",,
Scosche Flytunes Wireless Audio Transmitter for Nintendo Switch review: Keeps your USB-C port free while listening to Bluetooth headphones,Rebecca Spear,"One of the Nintendo Switch's biggest flaws is that it doesn't have Bluetooth capabilities. So if you want to use wireless headphones while you play, you'll need a reliable audio adapter like Flytunes.",2020-01-17,4,https://www.imore.com/flytunes-wireless-audio-transmitter-nintendo-switch-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/flytunes-audio-transmitter-001_0.jpg?itok=7uuIAG1t,": It's a bit bulkier than other Bluetooth adapters out there, but since it uses the headphone jack instead of the USB-C port, it gives you more options when playing your Nintendo Switch. It offers really good sound quality, and is easy to use. All in all, it's a great transmitter.",,
Philips Hue Play Bar Review: Raising the bar,Christopher Close,"These highly versatile Hue smart lights work as accent lighting, bias lighting, or just as cool lamps. The Hue Play Bar does it all.",2020-01-17,4,https://www.imore.com/philips-hue-play-bar-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/philips-hue-play-bar-review-hero.jpg?itok=FmFhPd7x," The Philips Hue Play Bar is a versatile lighting solution that offers bright, vivid colors in a compact and light form factor. This makes the Play Bar a fantastic choice for bias and accent lighting, especially if you have other Hue lights in your home.",,
Riverbond for Nintendo Switch review: Adorable hack-n-slash fun for everyone,Christine Chan,"Riverbond may look bright and cheery, but it's a challenging shoot-and-slash dungeon crawler that's fun for everyone, but there are some caveats.",2020-01-15,3,https://www.imore.com/riverbond-nintendo-switch-review-adorable-hack-n-slash-fun-everyone,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/riverbond-switch-hero.jpg?itok=f0p76lLD,": Riverbond is a simple shoot-n-slash dungeon crawler for the entire family. It's not too challenging or very in-depth, making it best geared for younger or casual gamers.",,
"Microsoft Edge on Mac review: in time, a worthy Safari competitor",Bryan M Wolfe,"Web browsers are an important part of everyday life. However, when was the last time you switched browsers? It might be time to make a switch thanks to Microsoft Edge.",2020-01-15,4,https://www.imore.com/microsoft-edge-mac-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/microsoft-edge-mac-hero-final.jpeg?itok=SRW5QPZh,: Free download.,,
Sega Genesis Mini review: A great retro replica for veteran and beginning players,Rebecca Spear,The Sega Genesis Mini gives you 42 classic games to enjoy. It's an awesome console for new and veteran gamers alike.,2020-01-15,4.5,https://www.imore.com/sega-genesis-mini-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/sega-genesis-mini-001.jpg?itok=ibrMDsKN,: The Sega Genesis Mini is a great buy for nostalgic and novice players alike. It comes with 42 classic Sega games including Sonic the Hedgehog and Street Fighter 2. You can create save points for any game and it comes with two controllers so you can play the multiplayer games with a buddy.,,
ERGO K860 Split Ergonomic Keyboard review: Comfort at any angle,Lory Gil,"How a keyboard can help your posture, not just your wrist movement.",2020-01-15,4,https://www.imore.com/ergo-k860-split-ergonomic-keyboard-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/logitech-ergo-k860-hero-02.jpeg?itok=SdBmybjw, $130,,
Adidas Originals iPhone 11 case: a surprising tribute to a legacy,Joe Wituschek,"Adidas has dropped a new line of cases for the iPhone 11 and iPhone 11 Pro, and they've brought sneaker culture to your hand.",2020-01-12,4,https://www.imore.com/adidas-originals-iphone-11-case-surprising-tribute-legacy,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/adidas-originals-ultrasuede-case.jpg?itok=v2tEb9Ry, Adidas is bringing history to the present in a stylish and impressively built way.,,
Best Western Digital External Hard Drives in 2020,Camille Sanghera,Wondering what the best external hard drives are from Western Digital? We've made it easy and broken it down for you.,2020-01-10,,https://www.imore.com/best-western-digital-external-hard-drives,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2019/06/working-remotely-on-computer-with-beer.jpg?itok=ONLdU7vB,,,
PDP Afterglow Wireless Deluxe Controller for Nintendo Switch: An awesome alternative to the Pro Controller,Rebecca Spear,The PDP Afterglow Wireless Deluxe Controller for Nintendo Switch is a great alternative to the more expensive Pro Controller. Any Switch owner would be happy to have it.,2020-01-12,4.5,https://www.imore.com/pdp-afterglow-wireless-deluxe-controller-nintendo-switch,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/pdp-afterglow-deluxe-wireless-controller-001.jpg?itok=P-YhH1ss,": It costs less than the Pro Controller but feels just as hefty. The extra buttons on the backside are wonderful as they are designed in such a way that they aren't intrusive when you're playing. You can have the controller cycle through colors or choose a specific color to stay on. This is a great option to have as it looks gorgeous, is easy to program, and runs for long stretches between charges.",,
"The Chipolo ONE review: New item tracker competes well with Tile, but beware of Apple",Bryan M Wolfe,"The latest item tracker from Chipolo is inexpensive and packed with features. Still, it might not be for you.",2020-01-10,4,https://www.imore.com/chipolo-one-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/chipolo-one-blue-hero.jpeg?itok=g5G00x14,": $25 each, discounted when you buy extra",,
Retro Review: 2009 Mac Pro in 2020,Anthony Casella,Thinking of upgrading to the iMac Pro? Perhaps an old Mac Pro can still suit you in 2020.,2020-01-08,,https://www.imore.com/retro-review-2009-mac-pro-2018,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2015/02/old-mac-pro-side-hero.jpg?itok=9FDTPsJ2,,,
Cover-Up MacBook Skin review: Real wood or stone for a unique style,Karen S Freeman,"You're not one to settle for ""the usual"" look for your MacBook. Cover-Up has you covered, with a genuine wood or stone MacBook skin.",2020-01-07,3.5,https://www.imore.com/cover-macbook-skin-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/cover-up-macbook-skin-hero.jpeg?itok=4BSuGILY, Cover-Up uses genuine wood or stone to craft unique MacBook skins by hand.,,
Otter + Pop Figura Series iPhone Case review: Sleeker PopGrip option,Karen S Freeman,"OtterBox cases are known for having excellent smartphone protection, and PopSockets PopGrips are known for giving you a secure grip on your phone. The two companies have collaborated on several cases, and the latest is the slim and trim Figura Series.",2020-01-06,4,https://www.imore.com/otter-pop-figura-series-iphone-case-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/otter-plus-pop-figura-iphone-case-hero.jpeg?itok=gL0DX7Bw, This lightweight but protective case has a built-in PopGrip for a secure grip on your phone.,,
Casery London Travel Backpack review: Carry your tech in style,Karen S Freeman,Casery's London Travel Backpack is both stylish and functional. It holds your laptop and has room for your other essentials whether you are traveling to the office or around the globe.,2020-01-03,4,https://www.imore.com/casery-london-travel-backpack-review-carry-your-tech-style,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2020/01/casery-london-travel-backpack-hero.jpeg?itok=VGBZvZ7k, This laptop backpack is beautiful and functional but feels rather stiff and heavy.,,
Mimeo Photos Review: Extend your Photos app abilities,Jeffery Battersby,Mimeo is a Photo project extension that lets you create your own fun and custom photo projects right on your Mac.,2020-01-03,4,https://www.imore.com/mimeo-photos-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2019/12/mimeo-photo-review-01.jpeg?itok=pbx_2h4Q, Free to download,,
TV+ vs. Disney+ review: One season later,Rene Ritchie,Both Apple and Disney announced new streaming video services this year and they couldn’t have been more different.,2019-12-27,,https://www.imore.com/tv-vs-disney-review-one-season-later,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2019/12/apple-tv-plus-vs-disney-plus-one-season-later-thumbnail-2.jpg?itok=tUxYjTza,,,
Lanmodo Vast Car Night Vision Camera review: Clearly capable,Christopher Close,"Drive a lot at night, and often worry about the dangers that could strike from out of nowhere? Then this camera might be the solution for you.",2019-12-27,3.5,https://www.imore.com/lanmodo-vast-car-night-vision-camera-review,https://www.imore.com/sites/imore.com/files/styles/large/public/field/image/2019/12/lanmodo-vast-review-4.jpg?itok=0HsxukD3," The Lanmodo Vast improves visibility in dark or low light settings, potentially avoiding dangerous situations. However, its high price tag and average build quality keep it from being a must have for everyone.",,
